Module,Address,Function
anti-debugging-th.exe,00865000,OptionalHeader.AddressOfEntryPoint
comctl32.dll,68A74CA0,Ordinal#404
comctl32.dll,68A74FD0,CreateMRUListW
comctl32.dll,68A74FF0,Ordinal#157
comctl32.dll,68A75070,Ordinal#151
comctl32.dll,68A75090,FreeMRUList
comctl32.dll,68A75120,AddMRUStringW
comctl32.dll,68A75330,Ordinal#153
comctl32.dll,68A75370,Ordinal#156
comctl32.dll,68A75430,Ordinal#167
comctl32.dll,68A755F0,Ordinal#169
comctl32.dll,68A75670,Ordinal#402
comctl32.dll,68A75760,Ordinal#155
comctl32.dll,68A757B0,EnumMRUListW
comctl32.dll,68A75840,Ordinal#154
comctl32.dll,68A759E0,Ordinal#71
comctl32.dll,68A75A00,Ordinal#72
comctl32.dll,68A75A30,Ordinal#73
comctl32.dll,68A75A50,Ordinal#74
comctl32.dll,68A76480,DllGetVersion
comctl32.dll,68A76760,CreateMappedBitmap
comctl32.dll,68A77440,Ordinal#382
comctl32.dll,68A78310,Ordinal#422
comctl32.dll,68A78430,DestroyPropertySheetPage
comctl32.dll,68A78980,Ordinal#163
comctl32.dll,68A78B60,CreatePropertySheetPageW
comctl32.dll,68A78B90,CreatePropertySheetPageA
comctl32.dll,68A78B90,CreatePropertySheetPage
comctl32.dll,68A7D330,Ordinal#164
comctl32.dll,68A7D4D0,PropertySheetW
comctl32.dll,68A7D4F0,PropertySheet
comctl32.dll,68A7D4F0,PropertySheetA
comctl32.dll,68A7DA50,DrawStatusTextW
comctl32.dll,68A7DA80,DrawStatusText
comctl32.dll,68A7DA80,DrawStatusTextA
comctl32.dll,68A7EFD0,CreateStatusWindowW
comctl32.dll,68A7F010,CreateStatusWindow
comctl32.dll,68A7F010,CreateStatusWindowA
comctl32.dll,68A800B0,CreateToolbarEx
comctl32.dll,68A801A0,CreateToolbar
comctl32.dll,68A87D70,CreateUpDownControl
comctl32.dll,68A886B0,DSA_Create
comctl32.dll,68A886F0,DSA_Destroy
comctl32.dll,68A88730,DSA_EnumCallback
comctl32.dll,68A88770,DSA_DestroyCallback
comctl32.dll,68A887A0,DSA_GetItem
comctl32.dll,68A887E0,DSA_GetItemPtr
comctl32.dll,68A88810,DSA_SetItem
comctl32.dll,68A888A0,DSA_InsertItem
comctl32.dll,68A88970,DSA_DeleteItem
comctl32.dll,68A88A30,DSA_DeleteAllItems
comctl32.dll,68A88A60,DPA_Create
comctl32.dll,68A88A80,DPA_CreateEx
comctl32.dll,68A88AC0,DPA_Destroy
comctl32.dll,68A88B00,DPA_Clone
comctl32.dll,68A88B70,DPA_GetPtr
comctl32.dll,68A88BA0,DPA_GetPtrIndex
comctl32.dll,68A88BF0,DPA_Grow
comctl32.dll,68A88C80,DPA_SetPtr
comctl32.dll,68A88CF0,DPA_InsertPtr
comctl32.dll,68A88D60,DPA_DeletePtr
