Module,Unique,Name_begin,ILT_begin,ILT_length,IAT_begin,IAT_length
advapi32.dll,21,null,null,null,null,null
awesomium.dll,14,null,null,null,null,null
combase.dll,5,null,null,null,null,null
comdlg32.dll,1,null,null,null,null,null
d3d9.dll,3,null,null,null,null,null
d3dx10_42.dll,3,null,null,null,null,null
d3dx9_42.dll,33,null,null,null,null,null
dbgcore.dll,1,null,null,null,null,null
dinput8.dll,1,null,null,null,null,null
dsound.dll,1,null,null,null,null,null
fmod_event.dll,32,null,null,null,null,null
fmod_event_net.dll,3,null,null,null,null,null
fmodex.dll,28,null,null,null,null,null
gdi32.dll,20,null,null,null,null,null
imm32.dll,19,null,null,null,null,null
kernel32.dll,147,null,null,null,null,null
msvcp90.dll,74,null,null,null,null,null
msvcr90.dll,242,null,null,null,null,null
mswsock.dll,1,null,null,null,null,null
neomon.dll,7,null,null,null,null,null
nexon_api.dll,3,null,null,null,null,null
ngclient.aes,2,null,null,null,null,null
ntdll.dll,14,null,null,null,null,null
ole32.dll,1,null,null,null,null,null
oleaut32.dll,11,null,null,null,null,null
physxloader.dll,3,null,null,null,null,null
psapi.dll,1,null,null,null,null,null
rpcrt4.dll,6,null,null,null,null,null
shell32.dll,1,null,null,null,null,null
shlwapi.dll,10,null,null,null,null,null
steam_api.dll,5,null,null,null,null,null
umbraoptimizer32.dll,3,null,null,null,null,null
user32.dll,76,null,null,null,null,null
version.dll,3,null,null,null,null,null
wininet.dll,12,null,null,null,null,null
winmm.dll,6,null,null,null,null,null
wldap32.dll,16,null,null,null,null,null
ws2_32.dll,40,null,null,null,null,null
