function,Instruction,Call address,Destination,Resolved name,Dest_int,call int,to next,to prev,is_thunk,Addr_int,Module,Function
-,jmp,0xa577e5,0x694cb730,,1766635312,10844133,6,1528,true,1766635312,umbraoptimizer32.dll,?getOptimizerInfoValue@Umbra@@YAHW4InfoValue@1@@Z
-,jmp,0xa577eb,0x694ccbb0,,1766640560,10844139,6,6,true,1766640560,umbraoptimizer32.dll,?insertObject@Scene@Umbra@@QAEPBVSceneObject@2@PBVSceneModel@2@ABVMatrix4x4@2@IIW4MatrixFormat@2@W4TriangleWinding@2@PBVVector2@2@PBVVector3@2@5@Z
-,jmp,0xa577f1,0x694cdbd0,,1766644688,10844145,6,6,true,1766644688,umbraoptimizer32.dll,?insertModel@Scene@Umbra@@QAEPBVSceneModel@2@PBMPBGHHHM@Z
-,jmp,0xa577f7,0x69473110,,1766273296,10844151,6,6,true,1766273296,steam_api.dll,SteamApps
-,jmp,0xa577fd,0x694731a0,,1766273440,10844157,6,6,true,1766273440,steam_api.dll,SteamFriends
-,jmp,0xa57803,0x69472de0,,1766272480,10844163,6,6,true,1766272480,steam_api.dll,SteamAPI_Init
-,jmp,0xa57809,0x69473210,,1766273552,10844169,6,6,true,1766273552,steam_api.dll,SteamUser
-,jmp,0xa5780f,0x694730d0,,1766273232,10844175,6,6,true,1766273232,steam_api.dll,SteamAPI_Shutdown
-,jmp,0xa57815,0x5f5290a2,,1599246498,10844181,6,6,true,1599246498,awesomium.dll,?CreateFromUTF8@WebString@Awesomium@@SA?AV12@PBDI@Z
-,jmp,0xa5781b,0x5f528e76,,1599245942,10844187,6,6,true,1599245942,awesomium.dll,??1WebString@Awesomium@@QAE@XZ
-,jmp,0xa57821,0x5f527d0f,,1599241487,10844193,6,6,true,1599241487,awesomium.dll,?Shutdown@WebCore@Awesomium@@SAXXZ
-,jmp,0xa57827,0x5f527ba3,,1599241123,10844199,6,6,true,1599241123,awesomium.dll,??0WebConfig@Awesomium@@QAE@XZ
-,jmp,0xa5782d,0x5f529088,,1599246472,10844205,6,6,true,1599246472,awesomium.dll,??4WebString@Awesomium@@QAEAAV01@ABV01@@Z
-,jmp,0xa57833,0x5f527cc8,,1599241416,10844211,6,6,true,1599241416,awesomium.dll,?Initialize@WebCore@Awesomium@@SAPAV12@ABUWebConfig@2@@Z
-,jmp,0xa57839,0x5f521eb9,,1599217337,10844217,6,6,true,1599217337,awesomium.dll,??0WebPreferences@Awesomium@@QAE@XZ
-,jmp,0xa5783f,0x5f526033,,1599234099,10844223,6,6,true,1599234099,awesomium.dll,??0WebURL@Awesomium@@QAE@ABVWebString@1@@Z
-,jmp,0xa57845,0x5f54f3d5,,1599402965,10844229,6,6,true,1599402965,awesomium.dll,??1WebURL@Awesomium@@QAE@XZ
-,jmp,0xa5784b,0x5f4fef35,,1599074101,10844235,6,6,true,1599074101,awesomium.dll,??1WebPreferences@Awesomium@@QAE@XZ
-,jmp,0xa57851,0x5f4fedb3,,1599073715,10844241,6,6,true,1599073715,awesomium.dll,??1WebConfig@Awesomium@@QAE@XZ
-,jmp,0xa57857,0x5f7a2d13,,1601842451,10844247,6,6,true,1601842451,awesomium.dll,?height@BitmapSurface@Awesomium@@QBEHXZ
-,jmp,0xa5785d,0x5fa26f54,,1604480852,10844253,6,6,true,1604480852,awesomium.dll,?width@BitmapSurface@Awesomium@@QBEHXZ
-,jmp,0xa57863,0x5f9e5d54,,1604214100,10844259,6,6,true,1604214100,awesomium.dll,?buffer@BitmapSurface@Awesomium@@QBEPBEXZ
-,jmp,0xa57869,0x5e5b6320,,1583047456,10844265,6,6,true,1583047456,ngclient.aes,Ordinal#1
-,jmp,0xa5786f,0x5e5b62c0,,1583047360,10844271,6,6,true,1583047360,ngclient.aes,Ordinal#2
-,jmp,0xa57875,0x76efc860,,1995425888,10844277,6,6,true,1995425888,ntdll.dll,RtlInitializeCriticalSection
-,jmp,0xa5787b,0x76ecfc70,,1995242608,10844283,6,6,true,1995242608,ntdll.dll,RtlDeleteCriticalSection
-,jmp,0xa57881,0x76ee00b0,,1995309232,10844289,6,6,true,1995309232,ntdll.dll,RtlEnterCriticalSection
-,jmp,0xa57887,0x76ede8b0,,1995303088,10844295,6,6,true,1995303088,ntdll.dll,RtlLeaveCriticalSection
-,jmp,0xa5788d,0x7584ea80,,1971645056,10844301,6,6,true,1971645056,kernel32.dll,InterlockedIncrement
-,jmp,0xa57893,0x7584eb00,,1971645184,10844307,6,6,true,1971645184,kernel32.dll,InterlockedDecrement
-,jmp,0xa57899,0x7584e290,,1971643024,10844313,6,6,true,1971643024,kernel32.dll,WideCharToMultiByte
