patch_addr,mem_old,patch
0xa577f6,90E914B9A168,FF255ECC6202
0xa577fc,90E99EB9A168,FF2562CC6202
0xa57802,90E9D8B5A168,FF2566CC6202
0xa57808,90E902BAA168,FF256ACC6202
0xa5780e,90E9BCB8A168,FF256ECC6202
0x14aa8be,90E9DC9E0D71,FF2576CC6202
0x14aa8c4,90E906900D71,FF257ACC6202
0x14aa8ca,90E9E04F0E71,FF257ECC6202
0x14aa8d0,90E92A930D71,FF2582CC6202
0x14aa8d6,90E9B44F0E71,FF2586CC6202
0x14aa8dc,90E98E4F0E71,FF258ACC6202
0x14eddde,90E98C114475,FF2592CC6202
0x14edde4,90E936D54075,FF2596CC6202
0x14eddea,90E970BE4375,FF259ACC6202
0x14eddf0,90E9EA094375,FF259ECC6202
0x14eddf6,90E984384275,FF25A2CC6202
0x14eddfc,90E97E1E4475,FF25A6CC6202
0x14ede02,90E9E8D84075,FF25AACC6202
0x14ede08,90E9A2484075,FF25AECC6202
0x14ede0e,90E92C374275,FF25B2CC6202
0x14ede14,90E926B94375,FF25B6CC6202
0x14ede1a,90E9B0834075,FF25BACC6202
0x14ede20,90E93AC74375,FF25BECC6202
0x14ede26,90E9F4624275,FF25C2CC6202
0x14ede2c,90E9EE3B4375,FF25C6CC6202
0x14ede32,90E9E8D24275,FF25CACC6202
0x14ede38,90E9C21D4475,FF25CECC6202
0xa57c82,90E92820DC75,FF25D6CC6202
0xa57c94,90E9D6C09C74,FF25DECC6202
0xa57c9a,90E9D07D9D74,FF25E2CC6202
0xa57ca0,90E98A6F9D74,FF25E6CC6202
0x14ad3d0,90E97A6BF773,FF25EACC6202
0x14ad3d6,90E94422F873,FF25EECC6202
0x14ad3dc,90E93E91F773,FF25F2CC6202
0x14ad3e2,90E9F815F873,FF25F6CC6202
0x14ad3e8,90E9D299F973,FF25FACC6202
0x14ad3ee,90E9DC03F873,FF25FECC6202
0x14ad3f4,90E9D699F973,FF2502CD6202
0x14ad3fa,90E9B099F973,FF2506CD6202
0xf610ce,90E96C880A0F,FF250ECD6202
0xf610d4,90E946900A0F,FF2512CD6202
0xf610da,90E930890A0F,FF2516CD6202
0x14ad10c,90E9A4A9D35C,FF251ECD6202
0x14fc176,90E984D4D05C,FF2522CD6202
0x14fc17c,90E977B7D05C,FF2526CD6202
0xa57bec,90E95EE33975,FF252ECD6202
0xa57bf2,90E998F13975,FF2532CD6202
0xa57bf8,90E9A2F03975,FF2536CD6202
0xa57bfe,90E9DCF13975,FF253ACD6202
0xa57c04,90E986EC3975,FF253ECD6202
0xa57c0a,90E970DC3975,FF2542CD6202
0xa57c10,90E95A323A75,FF2546CD6202
0xa57c16,90E9B4123A75,FF254ACD6202
0xa57c1c,90E9CED43975,FF254ECD6202
0xa57c22,90E998E33975,FF2552CD6202
0xa57c28,90E952E23975,FF2556CD6202
0xa57c2e,90E96CD63975,FF255ACD6202
0xa57c34,90E986F33975,FF255ECD6202
0xa57c3a,90E950F23975,FF2562CD6202
0xa57c40,90E92AD53975,FF2566CD6202
0x14ad352,90E9F86D9474,FF256ACD6202
0x14ad358,90E9B2739474,FF256ECD6202
0x14ad35e,90E96CB49474,FF2572CD6202
0x14ad364,90E926B39474,FF2576CD6202
0x14ad36a,90E9D09B9474,FF257ACD6202
0x14aa9d8,90E9A26ADC73,FF2582CD6202
