patch_addr,mem_old,patch
0x40fcb1,E88A9CBF0F,E81814B500
0xa0df28,E8E3BA5F0F,E8AD315500
0xa0ddb1,E86AC35F0F,E81E335500
0xdc9128,E8F30F240F,E8A77F1900
0xa0f2f1,E8BA1E585E,E834DEA900
0xa0f2e1,E9CA1E585E,E944DEA900
0xa0f369,E8921E585E,E8C2DDA900
0x414ff3,E888C3B75E,E83E810901
0x415141,E83AC2B75E,E8F07F0901
0x4151a1,E8DAC1B75E,E8907F0901
0x415231,E84AC1B75E,E8007F0901
0x4152ef,E88CC0B75E,E8427E0901
0x41533f,E83CC0B75E,E8F27D0901
0x415601,E87ABDB75E,E8307B0901
0x41566f,E80CBDB75E,E8C27A0901
0x4156ef,E88CBCB75E,E8427A0901
0x415791,E8EABBB75E,E8A0790901
0x415851,E82ABBB75E,E8E0780901
0x4158a1,E8DABAB75E,E890780901
0x43ca16,E86549B55E,E81B070701
0x43cb93,E8E847B55E,E89E050701
0x43f135,E84622B55E,E8FCDF0601
0x43f286,E8F520B55E,E8ABDE0601
0x43f62d,E84E1DB55E,E804DB0601
0x481fbd,E8BEF3B05E,E874B10201
0x48539b,E8E0BFB05E,E8967D0201
0x48725d,E81EA1B05E,E8D45E0201
0x4878fa,E8819AB05E,E837580201
0x4bffab,E8D013AD5E,E886D1FE00
0x4bffe1,E89A13AD5E,E850D1FE00
0x4d9243,E83881AB5E,E8EE3EFD00
0x4d927e,E8FD80AB5E,E8B33EFD00
0x4d92c6,E8B580AB5E,E86B3EFD00
0x5d4e03,E878C59B5E,E82E83ED00
0x70b3b5,E8C65F885E,E87C1DDA00
0x79bfc5,E8B6537F5E,E86C11D100
0x7de1e2,E899317B5E,E84FEFCC00
0x7de207,E874317B5E,E82AEFCC00
0x7e8ce1,E89A867A5E,E85044CC00
0x80fcf1,E88A16785E,E840D4C900
0x81019f,E8DC11785E,E892CFC900
0x8d3f33,E848D46B5E,E8FE91BD00
0x8d6e01,E87AA56B5E,E83063BD00
0x8da8da,E8A16A6B5E,E85728BD00
0x934f3d,E83EC4655E,E8F481B700
0x936024,E857B3655E,E80D71B700
0x937a84,E8F798655E,E8AD56B700
0x938ed1,E8AA84655E,E86042B700
0x938fdf,E89C83655E,E85241B700
0x93a3d4,E8A76F655E,E85D2DB700
0xa0f0c8,E8B322585E,E869E0A900
0xa0f428,E8531F585E,E809DDA900
0x974aff,E87CC9615E,E80E86B300
0xa0f146,E83523585E,E8C7DFA900
0x974b6d,E81EC9615E,E8A685B300
0xa0f16b,E82023585E,E8A8DFA900
0x974b61,E84AC9615E,E8B885B300
0xa0f18b,E82023585E,E88EDFA900
0x427076,E855A4B65E,E8A9600801
0x974b95,E836C9615E,E88A85B300
0xa0f1a3,E82823585E,E87CDFA900
0x62133c,E87F4FDC5E,E82D654300
0x61fffb,E82063DC5E,E868784300
0x9754a8,E806999B5F,E8A3230E00
0x151d9c4,E9EA13E15E,E9879E53FF
0x975d31,E8FF919B5F,E8141B0E00
0x975d5c,E8D4919B5F,E8E91A0E00
0x154e8b7,E97906DE5E,E98E8F50FF
0x975bcf,E8E5C29D5F,E8641C0E00
0x975c70,E8BE039E5F,E8C91B0E00
0x976138,E8F6FE9D5F,E801170E00
0x976451,E8DDFB9D5F,E8E8130E00
0x975442,E85C279E5F,E8DF230E00
0x97548d,E836289E5F,E8A0230E00
0x974dd6,E8342F9E5F,E8452A0E00
0x97547d,E8F4399E5F,E898230E00
0x976148,E8292D9E5F,E8CD160E00
0x976461,E8102A9E5F,E8B4130E00
0x151d9cd,E9A4B4E35E,E9489E53FF
0x154e8c3,E9AEA5E05E,E9528F50FF
0x154e8cf,E9A2A5E05E,E9468F50FF
0x15554f7,E97A39E05E,E91E2350FF
0x1555547,E92A39E05E,E9CE2250FF
0x975470,E8133C9E5F,E8B7230E00
0x974bfd,E8A0449E5F,E8122C0E00
0x975d1c,E8B496A05F,E8231B0E00
0x975d47,E88996A05F,E8F81A0E00
0x976173,E85D92A05F,E8CC160E00
0x97648c,E8448FA05F,E8B3130E00
0x154e8db,E9F50AE35E,E9648F50FF
0x1555503,E9CD9EE25E,E93C2350FF
0x1555553,E97D9EE25E,E9EC2250FF
0x686d48,E8D3B1FA68,E87F3CE200
0x6868f1,E8FAB6FA68,E8DC40E200
0x686dc1,E82AB2FA68,E80C3CE200
0x42ac4b,E800742069,E876FD0701
0x41ce13,E80782CD69,E8F03EB400
0x41cf36,E8E480CD69,E8CD3DB400
0x41d034,E8E67FCD69,E8CF3CB400
0x41d155,E8C57ECD69,E8AE3BB400
0x51ce97,E88381BD69,E86C3EA400
0xd83ed5,E894113769,E8A4CD1D00
0x4e8480,E8C0CEC069,E87D88A700
0x4e8524,E81CCEC069,E8D987A700
0x4e85c9,E877CDC069,E83487A700
0x4e866e,E8D2CCC069,E88F86A700
0x4e879a,E8A6CBC069,E86385A700
0x4e8a3e,E802C9C069,E8BF82A700
0x4e8ae8,E858C8C069,E81582A700
0x4e8cd4,E86CC6C069,E82980A700
0x4e8d7b,E8C5C5C069,E8827FA700
0x4e8e36,E80AC5C069,E8C77EA700
0x4e8ef6,E84AC4C069,E8077EA700
0x4e8fb6,E88AC3C069,E8477DA700
0x4e9078,E8C8C2C069,E8857CA700
0x682281,E8BF30A769,E87CEA8D00
0x6822ac,E89430A769,E851EA8D00
0x6822d7,E86930A769,E826EA8D00
0x682302,E83E30A769,E8FBE98D00
0x682333,E80D30A769,E8CAE98D00
0x6e8199,E8A7D1A069,E8648B8700
0x7134f1,E84F1E9E69,E80CD88400
0x80db36,E80A788E69,E8C7317500
0x80db46,E8FA778E69,E8B7317500
0x4e8312,E80CD1C069,E8398AA700
0x4e8396,E888D0C069,E8B589A700
0x4e84bf,E85FCFC069,E88C88A700
0x4e8564,E8BACEC069,E8E787A700
0x4e8609,E815CEC069,E84287A700
0x4e86b0,E86ECDC069,E89B86A700
0x4e87d6,E848CCC069,E87585A700
0x4e88b1,E86DCBC069,E89A84A700
0x4e8948,E8D6CAC069,E80384A700
0x4e89df,E83FCAC069,E86C83A700
0x4e8a83,E89BC9C069,E8C882A700
0x4e8b2d,E8F1C8C069,E81E82A700
0x4e8bce,E850C8C069,E87D81A700
0x4e8c6f,E8AFC7C069,E8DC80A700
0x4e8d16,E808C7C069,E83580A700
0x4e8dd1,E84DC6C069,E87A7FA700
0x4e8e91,E88DC5C069,E8BA7EA700
0x4e8f51,E8CDC4C069,E8FA7DA700
0x4e9011,E80DC4C069,E83A7DA700
0x4e929d,E881C1C069,E8AE7AA700
0x4e932a,E8F4C0C069,E8217AA700
0x4e93a4,E87AC0C069,E8A779A700
0x4e941e,E800C0C069,E82D79A700
0x4e9498,E886BFC069,E8B378A700
0x4e9512,E80CBFC069,E83978A700
0x686bb5,E869E8A669,E896A18D00
0x6e804b,E8D3D3A069,E8008D8700
0x6e8131,E8EDD2A069,E81A8C8700
0x6e81c4,E85AD2A069,E8878B8700
0x6e8282,E89CD1A069,E8C98A8700
0x6e8363,E8BBD0A069,E8E8898700
0x6e83c7,E857D0A069,E884898700
0x6e83eb,E833D0A069,E860898700
0x71318b,E893229E69,E8C0DB8400
0x713475,E8A91F9E69,E8D6D88400
0x79590c,E812FB9569,E83FB47C00
0x79592b,E8F3FA9569,E820B47C00
0x795a05,E819FA9569,E846B37C00
0x80bf5f,E8BF948E69,E8EC4D7500
0x80bf75,E8A9948E69,E8D64D7500
0x86d49e,E8807F8869,E8AD386F00
0x86d506,E8187F8869,E845386F00
0x86d72b,E8F37C8869,E820366F00
0x93e1cc,E852727B69,E87F2B6200
0x93e2a6,E878717B69,E8A52A6200
0x93e2c5,E859717B69,E8862A6200
0x93e379,E8A5707B69,E8D2296200
0x93e5a5,E8796E7B69,E8A6276200
0x93e63d,E8E16D7B69,E80E276200
0x93e65c,E8C26D7B69,E8EF266200
0x93e702,E81C6D7B69,E849266200
0x94f8ae,E8705B7A69,E89D146100
0x94fa76,E8A8597A69,E8D5126100
0x96de88,E896757869,E8C32E5F00
0x96debf,E85F757869,E88C2E5F00
0xa00e2d,E8F1456F69,E81EFF5500
0xa0102d,E8F1436F69,E81EFD5500
0xa02491,E88D2F6F69,E8BAE85500
0xa024e5,E8392F6F69,E866E85500
0xa0263a,E8E42D6F69,E811E75500
0x510b2c,E83749BE69,E8EF01A500
0xa0247b,E865336F69,E884E95500
0xa0255a,E886326F69,E8A5E85500
0xa02582,E85E326F69,E87DE85500
0xa025aa,E836326F69,E855E85500
0xa025d2,E80E326F69,E82DE85500
0xa025fa,E8E6316F69,E805E85500
0xa0261f,E8C1316F69,E8E0E75500
