patch_addr,bytes_at_local
0x40119a,90E8BF2E615D
0x4011b5,90E8852E615D
0x4011de,90E87B2E615D
0x401200,90E83A2E615D
0x403564,90E85F97615D
0x403578,90E84B97615D
0x403588,90E83B97615D
0x403645,90E87E96615D
0x40365d,90E86696615D
0x40366f,90E85496615D
0x40367f,90E84496615D
0x4036e8,90E8DB95615D
0x4036f8,90E8CB95615D
0x4037bf,90E80495615D
0x4037df,90E8E494615D
0x40385b,90E86894615D
0x4038be,90E80594615D
0x40394a,90E87993615D
0x4039a8,90E81B93615D
0x4039e7,90E8DC92615D
0x4039fb,90E8C892615D
0x403a28,90E89B92615D
0x403b69,90E85A91615D
0x403bea,90E8D990615D
0x403e7c,90E8C732665D
0x403f69,90E85A8D615D
0x403f8a,90E8398D615D
0x40415f,90E8D57D605D
0x40447c,90E8391A665D
0x404485,90E9EB7B605D
0x40449c,90E8191A665D
0x4044a4,90E8CC7B605D
0x40453e,90E8707A605D
0x404559,90E8272D665D
0x4045a8,90E87679605D
0x4045c4,90E8BC2C665D
0x4045ec,90E8C918665D
0x4045f4,90E87C7A605D
0x40461c,90E89918665D
0x404625,90E94B7A605D
0x40468e,90E8A678605D
0x404708,90E82C78605D
0x404726,90E94A79605D
0x404739,90E83779605D
0x404768,90E84678605D
0x404ac5,90E874F2605D
0x404ae5,90E854F2605D
0x404b05,90E834F2605D
0x404b25,90E814F2605D
0x404b4a,90E8C518615D
0x404b65,90E8E3EF605D
0x404e2e,90E8957E615D
0x4064a9,90E89A0C665D
0x4064b3,90E802FA655D
0x4064e5,90E85E0C665D
0x406504,90E83F0C665D
0x406523,90E8200C665D
0x40652d,90E888F9655D
0x40654e,90E8F50B665D
0x40656d,90E8D60B665D
0x40658c,90E8B70B665D
0x406596,90E81FF9655D
0x4065cc,90E8770B665D
0x4065eb,90E8580B665D
0x406b3f,90E87225605D
0x407bd8,90E8D914605D
0x40879d,90E8ABB3605D
0x4087cb,90E87DB3605D
0x40881b,90E82DB3605D
0x408971,90E8D7B1605D
0x408b6b,90E8DDAF605D
0x408d04,90E844AE605D
0x408fda,90E8E93C615D
0x409017,90E822AD605D
0x409046,90E802AB605D
0x4090fd,90E8C63B615D
0x40916a,90E8593B615D
0x4091dc,90E85DAB605D
0x40921d,90E8A63A615D
0x409c55,90E8E4A0605D
0x409ccd,90E8647D625D
0x409e39,90E80F9D605D
0x409e59,90E8EF9C605D
0x409e7a,90E8CE9C605D
0x40b0af,90E88269625D
0x40b30d,90E86B965D5D
