patch_addr,before_bytes,after_bytes,stub_target,iat_slot,expected_iat_slot,module,function,stub_ok,iat_ok
0x1003caf,90E85BF47E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x1003cc8,90E842F47E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x10055c6,90E844DB7E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x1005604,90E806DB7E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x1005637,90E8D3DA7E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x100566a,90E8A0DA7E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x100575a,90E8B0D97E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x1005798,90E872D97E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x10057cb,90E83FD97E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x10057fe,90E80CD97E67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x10062d0,90E9DE3C7C67,FF2510865801,0x687c9fb4,0x1588610,0x01588610,msvcr90.dll,_wcsicoll,true,true
0x10062e0,90E9E3397C67,FF250C865801,0x687c9cc9,0x158860c,0x0158860C,msvcr90.dll,wcscoll,true,true
0x100630f,90E8CC077A67,FF1514885801,0x687a6ae1,0x1588814,0x01588814,msvcr90.dll,strncmp,true,true
0x100662a,90E899367C67,FF150C865801,0x687c9cc9,0x158860c,0x0158860C,msvcr90.dll,wcscoll,true,true
0x1006632,90E87C397C67,FF1510865801,0x687c9fb4,0x1588610,0x01588610,msvcr90.dll,_wcsicoll,true,true
0x100685a,90E881027A67,FF1514885801,0x687a6ae1,0x1588814,0x01588814,msvcr90.dll,strncmp,true,true
0x1006d9c,90E83FFD7967,FF1514885801,0x687a6ae1,0x1588814,0x01588814,msvcr90.dll,strncmp,true,true
0x1007944,90E897F17967,FF1514885801,0x687a6ae1,0x1588814,0x01588814,msvcr90.dll,strncmp,true,true
0x101c8a8,90E862687D67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x101c8e9,90E821687D67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x101c98e,90E87C677D67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x101c9cf,90E83B677D67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x1021012,90E898AE7867,FF15AC885801,0x687abeb0,0x15888ac,0x015888AC,msvcr90.dll,strstr,true,true
0x1028c65,90E876DE7767,FF1514885801,0x687a6ae1,0x1588814,0x01588814,msvcr90.dll,strncmp,true,true
0x1028c8d,90E84EDE7767,FF1514885801,0x687a6ae1,0x1588814,0x01588814,msvcr90.dll,strncmp,true,true
0x1028cb5,90E826DE7767,FF1514885801,0x687a6ae1,0x1588814,0x01588814,msvcr90.dll,strncmp,true,true
0x1028e96,90E86EDE7767,FF1588885801,0x687a6d0a,0x1588888,0x01588888,msvcr90.dll,strcpy_s,true,true
0x1028ec7,90E83DDE7767,FF1588885801,0x687a6d0a,0x1588888,0x01588888,msvcr90.dll,strcpy_s,true,true
0x1028efe,90E806DE7767,FF1588885801,0x687a6d0a,0x1588888,0x01588888,msvcr90.dll,strcpy_s,true,true
0x102d279,90E991E57767,FF257C875801,0x687ab810,0x158877c,0x0158877C,msvcr90.dll,strchr,true,true
0x10307e9,90E821B07767,FF157C875801,0x687ab810,0x158877c,0x0158877C,msvcr90.dll,strchr,true,true
0x103080a,90E867657767,FF15BC885801,0x687a6d77,0x15888bc,0x015888BC,msvcr90.dll,strncpy_s,true,true
0x103808f,90E97B327767,FF2548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x10380cf,90E93B327767,FF2548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x103a4d9,90E8310E7767,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x103aa26,90E8E4087767,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x103ab36,90E8D4077767,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x103aced,90E81D067767,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x103ad49,90E8C1057767,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x103b50a,90E800FE7667,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x103b667,90E8A3FC7667,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x104337d,90E88DFD7A67,FF1518875801,0x687f3110,0x1588718,0x01588718,msvcr90.dll,ceil,true,true
0x1050d94,90E876A57567,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x1050e69,90E8A1A47567,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x1051994,90E876997567,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x1051b12,90E8F8977567,FF1548875801,0x687ab310,0x1588748,0x01588748,msvcr90.dll,memmove,true,true
0x1054bde,90E8CCBCF375,FF1574835801,0x76f908b0,0x1588374,0x01588374,kernel32.dll,SetErrorMode,true,true
0x1054c09,90E8A1BCF375,FF1574835801,0x76f908b0,0x1588374,0x01588374,kernel32.dll,SetErrorMode,true,true
0x1054c76,90E834BCF375,FF1574835801,0x76f908b0,0x1588374,0x01588374,kernel32.dll,SetErrorMode,true,true
0x1054cdf,90E8F20A7567,FF1500865801,0x687a57d7,0x1588600,0x01588600,msvcr90.dll,_wfopen_s,true,true
0x1054cff,90E856D87467,FF1504865801,0x687a255b,0x1588604,0x01588604,msvcr90.dll,rewind,true,true
0x1054d6f,90E83BBBF375,FF1574835801,0x76f908b0,0x1588374,0x01588374,kernel32.dll,SetErrorMode,true,true
0x1054dc8,90E8C7BF7467,FF1560875801,0x687a0d95,0x1588760,0x01588760,msvcr90.dll,ftell,true,true
0x1054e38,90E857BF7467,FF1560875801,0x687a0d95,0x1588760,0x01588760,msvcr90.dll,ftell,true,true
0x1054f25,90E8D5B07467,FF1564875801,0x687a0000,0x1588764,0x01588764,msvcr90.dll,fflush,true,true
0x1054f45,90E800C57467,FF1574875801,0x687a144b,0x1588774,0x01588774,msvcr90.dll,fwrite,true,true
0x1054fc5,90E835B07467,FF1564875801,0x687a0000,0x1588764,0x01588764,msvcr90.dll,fflush,true,true
0x1054fe5,90E8BBB67467,FF1550875801,0x687a06a6,0x1588750,0x01588750,msvcr90.dll,fread,true,true
0x1055134,90E8C6AE7467,FF1564875801,0x687a0000,0x1588764,0x01588764,msvcr90.dll,fflush,true,true
0x1055178,90E8ACB87467,FF15B8875801,0x687a0a2a,0x15887b8,0x015887B8,msvcr90.dll,fseek,true,true
0x1055297,90E8C4A97467,FF15C0875801,0x6879fc61,0x15887c0,0x015887C0,msvcr90.dll,fclose,true,true
0x105535a,90E864567467,FF15FC855801,0x6879a9c4,0x15885fc,0x015885FC,msvcr90.dll,_wstat64,true,true
0x1055663,90E878147567,FF1514885801,0x687a6ae1,0x1588814,0x01588814,msvcr90.dll,strncmp,true,true
0x1056459,90E8AB087567,FF1588885801,0x687a6d0a,0x1588888,0x01588888,msvcr90.dll,strcpy_s,true,true
0x105646b,90E867E37867,FF1514865801,0x687e47d8,0x1588614,0x01588614,msvcr90.dll,longjmp,true,true
0x105663f,90E85B06E075,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x1056657,90E84306E075,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x1058ec9,90E8B1C9DF75,FF1594805801,0x76e55880,0x1588094,0x01588094,gdi32.dll,DeleteObject,true,true
0x1058f11,90E8F9B7DF75,FF157C805801,0x76e54710,0x158807c,0x0158807C,gdi32.dll,CreateFontW,true,true
0x1058f2d,90E86DDDDF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x1059071,90E829DCDF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x1059096,90E804DCDF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x105a10d,90E86DB7DF75,FF1594805801,0x76e55880,0x1588094,0x01588094,gdi32.dll,DeleteObject,true,true
0x105a155,90E8B5A5DF75,FF157C805801,0x76e54710,0x158807c,0x0158807C,gdi32.dll,CreateFontW,true,true
0x105a170,90E82ACBDF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x105a289,90E811CADF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x105a2ae,90E8ECC9DF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x105a5ea,90E8B0C6DF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x105a646,90E8049BDF75,FF1580805801,0x76e54150,0x1588080,0x01588080,gdi32.dll,GetGlyphOutlineW,true,true
0x105a657,90E843C6DF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x105a721,90E879C5DF75,FF1588805801,0x76e56ca0,0x1588088,0x01588088,gdi32.dll,SelectObject,true,true
0x105a967,90E823DDDF75,FF1574805801,0x76e58690,0x1588074,0x01588074,gdi32.dll,EnumFontFamiliesExW,true,true
0x105aa90,90E874C27467,FF1588885801,0x687a6d0a,0x1588888,0x01588888,msvcr90.dll,strcpy_s,true,true
0x105ab3c,90E84EDBDF75,FF1574805801,0x76e58690,0x1588074,0x01588074,gdi32.dll,EnumFontFamiliesExW,true,true
0x105ac22,90E8E89ADF75,FF157C805801,0x76e54710,0x158807c,0x0158807C,gdi32.dll,CreateFontW,true,true
