subroutine,Instruction,Call address,Destination,Resolved name
-,call,0x401001,0x770bc860,
-,call,0x401011,0x7708fc70,
-,call,0x401023,0x770a00b0,
-,call,0x401033,0x7709e8b0,
-,call,0x40119a,0x6f64405f,
-,call,0x4011b5,0x6f644040,
-,call,0x4011de,0x6f64405f,
-,call,0x401200,0x6f644040,
-,call,0x4016a7,0x770a00b0,
-,call,0x4016ea,0x7709e8b0,
-,call,0x401759,0x770a00b0,
-,call,0x40179e,0x7709e8b0,
-,call,0x403564,0x6f64ccc9,
-,call,0x403578,0x6f64ccc9,
-,call,0x403588,0x6f64ccc9,
-,call,0x403645,0x6f64ccc9,
-,call,0x40365d,0x6f64ccc9,
-,call,0x40366f,0x6f64ccc9,
-,call,0x40367f,0x6f64ccc9,
-,call,0x4036e8,0x6f64ccc9,
-,call,0x4036f8,0x6f64ccc9,
-,call,0x4037bf,0x6f64ccc9,
-,call,0x4037df,0x6f64ccc9,
-,call,0x40385b,0x6f64ccc9,
-,call,0x4038be,0x6f64ccc9,
-,call,0x40394a,0x6f64ccc9,
-,call,0x4039a8,0x6f64ccc9,
-,call,0x4039e7,0x6f64ccc9,
-,call,0x4039fb,0x6f64ccc9,
-,call,0x403a28,0x6f64ccc9,
-,call,0x403b69,0x6f64ccc9,
-,call,0x403bea,0x6f64ccc9,
-,call,0x403e7c,0x732f7149,
-,call,0x403f69,0x6f64ccc9,
-,call,0x403f8a,0x6f64ccc9,
-,call,0x40415f,0x6f63bf3a,
-,call,0x40447c,0x732f5ebb,
-,call,0x40449c,0x732f5ebb,
-,call,0x4044a4,0x6f63c076,
-,call,0x40453e,0x6f63bfb4,
-,call,0x404559,0x732f7286,
-,call,0x4045a8,0x6f63bf24,
-,call,0x4045c4,0x732f7286,
-,call,0x4045ec,0x732f5ebb,
-,call,0x4045f4,0x6f63c076,
-,call,0x40461c,0x732f5ebb,
-,call,0x40468e,0x6f63bf3a,
-,call,0x404708,0x6f63bf3a,
-,call,0x404739,0x6f63c076,
-,call,0x404768,0x6f63bfb4,
-,call,0x404ac5,0x6f643d3f,
-,call,0x404ae5,0x6f643d3f,
-,call,0x404b05,0x6f643d3f,
-,call,0x404b25,0x6f643d3f,
-,call,0x404b4a,0x6f646415,
-,call,0x404b65,0x6f643b4e,
-,call,0x404d89,0x770a00b0,
-,call,0x404dcb,0x7709e8b0,
-,call,0x404e2e,0x6f64ccc9,
-,call,0x405981,0x7639eb00,
-,call,0x40599f,0x7639ea80,
-,call,0x405beb,0x7639eb00,
-,call,0x405c0a,0x7639ea80,
-,call,0x405c92,0x7639eb00,
-,call,0x405cb1,0x7639ea80,
-,call,0x405d26,0x7639eb00,
-,call,0x405d45,0x7639ea80,
-,call,0x406337,0x7639ea80,
-,call,0x406380,0x7639eb00,
-,call,0x4063fa,0x7639ea80,
-,call,0x40641e,0x7639eb00,
-,call,0x4064a9,0x732f7149,
-,call,0x4064b3,0x732f5ebb,
-,call,0x4064e5,0x732f7149,
-,call,0x406504,0x732f7149,
-,call,0x406523,0x732f7149,
-,call,0x40652d,0x732f5ebb,
-,call,0x40654e,0x732f7149,
-,call,0x40656d,0x732f7149,
-,call,0x40658c,0x732f7149,
-,call,0x406596,0x732f5ebb,
-,call,0x4065cc,0x732f7149,
-,call,0x4065eb,0x732f7149,
-,call,0x4068de,0x7639eb00,
-,call,0x406913,0x7639eb00,
-,call,0x4069a0,0x7639eb00,
-,call,0x406aac,0x7639eb00,
-,call,0x406b3f,0x6f6390b7,
-,call,0x406bb9,0x7639eb00,
-,call,0x406ccd,0x7639eb00,
-,call,0x406e7c,0x7639eb00,
-,call,0x406eb1,0x7639eb00,
-,call,0x406f3d,0x7639eb00,
-,call,0x407052,0x7639eb00,
-,call,0x407161,0x7639eb00,
-,call,0x407196,0x7639eb00,
-,call,0x40721d,0x7639eb00,
-,call,0x407331,0x7639eb00,
-,call,0x40743d,0x7639eb00,
-,call,0x407472,0x7639eb00,
-,call,0x4074dd,0x7639eb00,
-,call,0x4075f1,0x7639eb00,
-,call,0x407715,0x7639eb00,
-,call,0x4077dc,0x7639eb00,
-,call,0x40784c,0x7639eb00,
-,call,0x40797e,0x7639eb00,
-,call,0x4079b3,0x7639eb00,
-,call,0x407a40,0x7639eb00,
-,call,0x407b5f,0x7639eb00,
-,call,0x407bd8,0x6f6390b7,
-,call,0x407c52,0x7639eb00,
-,call,0x40845e,0x76730680,
-,call,0x40879d,0x6f643b4e,
-,call,0x4087cb,0x6f643b4e,
-,call,0x40881b,0x6f643b4e,
-,call,0x408971,0x6f643b4e,
-,call,0x408b6b,0x6f643b4e,
-,call,0x408d04,0x6f643b4e,
-,call,0x408e02,0x7639eb00,
-,call,0x408fda,0x6f64ccc9,
-,call,0x409017,0x6f643d3f,
-,call,0x409046,0x6f643b4e,
-,call,0x4090fd,0x6f64ccc9,
-,call,0x40916a,0x6f64ccc9,
-,call,0x4091dc,0x6f643d3f,
-,call,0x40921d,0x6f64ccc9,
-,call,0x409452,0x7639eb00,
-,call,0x40951e,0x7639eb00,
-,call,0x409587,0x7639eb00,
-,call,0x4095a6,0x7639ea80,
-,call,0x4095e1,0x7639ea80,
-,call,0x409617,0x7639eb00,
-,call,0x409634,0x7639ea80,
-,call,0x409667,0x7639eb00,
-,call,0x409686,0x7639ea80,
-,call,0x4096c7,0x7639eb00,
-,call,0x4096e4,0x7639ea80,
-,call,0x409966,0x7639eb00,
-,call,0x4099f1,0x7639eb00,
-,call,0x409a16,0x7639ea80,
-,call,0x409a5d,0x7639eb00,
-,call,0x409b48,0x7639eb00,
-,call,0x409b68,0x7639ea80,
-,call,0x409c55,0x6f643d3f,
-,call,0x409ccd,0x6f661a37,
-,call,0x409e39,0x6f643b4e,
-,call,0x409e59,0x6f643b4e,
-,call,0x409e7a,0x6f643b4e,
-,call,0x40a43c,0x7639ea80,
-,call,0x40a45b,0x7639eb00,
-,call,0x40a490,0x7639ea80,
-,call,0x40a508,0x7639eb00,
-,call,0x40a561,0x7639eb00,
-,call,0x40aa73,0x7639ea80,
-,call,0x40aa9b,0x7639eb00,
-,call,0x40aad0,0x7639ea80,
-,call,0x40ae84,0x7639eb00,
-,call,0x40af4b,0x7639eb00,
-,call,0x40af81,0x7639ea80,
-,call,0x40b0af,0x6f661a37,
-,call,0x40b227,0x7639eb00,
-,call,0x40b244,0x7639ea80,
-,call,0x40b27b,0x7639eb00,
-,call,0x40b2b1,0x7639ea80,
-,call,0x40b30d,0x6f61497e,
-,call,0x40b36a,0x6f61497e,
-,call,0x40b3cb,0x7639eb00,
-,call,0x40b3f7,0x7639eb00,
-,call,0x40b414,0x7639ea80,
-,call,0x40b425,0x7639eb00,
-,call,0x40b435,0x7639ea80,
-,call,0x40b981,0x6f643b4e,
-,call,0x40be35,0x6f643b4e,
-,call,0x40fcb0,0x10009940,
-,call,0x414871,0x6f64ccc9,
-,call,0x414c67,0x770a00b0,
-,call,0x414ca0,0x7709e8b0,
-,call,0x414fa5,0x770a00b0,
-,call,0x414fc4,0x7709e8b0,
-,call,0x414ff2,0x6e3a1380,
-,call,0x415140,0x6e3a1380,
-,call,0x4151a0,0x6e3a1380,
-,call,0x415230,0x6e3a1380,
-,call,0x4152ee,0x6e3a1380,
-,call,0x41533e,0x6e3a1380,
-,call,0x415413,0x7639e290,
-,call,0x415473,0x7639e290,
