Calladdr,Address,Ordinal,Function,Module
0x01588000,0x768ef2a0,1215,CryptGetHashParam,advapi32.dll
0x01588004,0x768ef970,1201,CryptDestroyHash,advapi32.dll
0x01588008,0x768ef660,1219,CryptHashData,advapi32.dll
0x0158800C,0x768f0160,1195,CryptAcquireContextA,advapi32.dll
0x01588010,0x768ef540,1198,CryptCreateHash,advapi32.dll
0x01588014,0x768ef130,1667,RegQueryInfoKeyW,advapi32.dll
0x01588018,0x768f30e0,1641,RegEnumKeyExA,advapi32.dll
0x0158801C,0x768ef990,1196,CryptAcquireContextW,advapi32.dll
0x01588020,0x768f0920,1212,CryptGenRandom,advapi32.dll
0x01588024,0x768efaf0,1222,CryptReleaseContext,advapi32.dll
0x01588028,0x768ef220,1689,RegSetValueExW,advapi32.dll
0x0158802C,0x768ef260,1620,RegCreateKeyExW,advapi32.dll
0x01588030,0x768f06f0,1688,RegSetValueExA,advapi32.dll
0x01588034,0x768f39f0,1380,GetUserNameA,advapi32.dll
0x01588038,0x768eef10,1673,RegQueryValueExW,advapi32.dll
0x0158803C,0x768ef150,1611,RegCloseKey,advapi32.dll
0x01588040,0x768ef240,1659,RegOpenKeyExA,advapi32.dll
0x01588044,0x768eefe0,1660,RegOpenKeyExW,advapi32.dll
0x01588048,0x768ef940,1381,GetUserNameW,advapi32.dll
0x0158804C,0x768ef580,1619,RegCreateKeyExA,advapi32.dll
0x01588050,0x768ef080,1672,RegQueryValueExA,advapi32.dll
0x01588054,0x00000000,,,
0x01588058,0x765e5390,102,ChooseColorA,comdlg32.dll
0x0158805C,0x00000000,,,
0x01588060,0x5bf533f0,1,DirectInput8Create,dinput8.dll
0x01588064,0x00000000,,,
0x01588068,0x638202d0,11,DirectSoundCreate8,dsound.dll
0x0158806C,0x00000000,,,
0x01588070,0x76646f40,1744,GetTextMetricsW,gdi32.dll
0x01588074,0x76648690,1466,EnumFontFamiliesExW,gdi32.dll
0x01588078,0x766487d0,1685,GetKerningPairsW,gdi32.dll
0x0158807C,0x76644710,1083,CreateFontW,gdi32.dll
0x01588080,0x76644150,1677,GetGlyphOutlineW,gdi32.dll
0x01588084,0x76646d90,1065,CreateCompatibleDC,gdi32.dll
0x01588088,0x76646ca0,1885,SelectObject,gdi32.dll
0x0158808C,0x76646de0,1035,BitBlt,gdi32.dll
0x01588090,0x76646890,1399,DeleteDC,gdi32.dll
0x01588094,0x76645880,1402,DeleteObject,gdi32.dll
0x01588098,0x76645170,1950,TextOutA,gdi32.dll
0x0158809C,0x76646e90,1932,SetTextColor,gdi32.dll
0x015880A0,0x76646fc0,1893,SetBkMode,gdi32.dll
0x015880A4,0x766452a0,1078,CreateFontA,gdi32.dll
0x015880A8,0x76645e80,1070,CreateDIBSection,gdi32.dll
0x015880AC,0x76645fc0,1652,GetDeviceCaps,gdi32.dll
0x015880B0,0x766450f0,1066,CreateDCA,gdi32.dll
0x015880B4,0x76648ed0,1904,SetDeviceGammaRamp,gdi32.dll
0x015880B8,0x7664ae70,1653,GetDeviceGammaRamp,gdi32.dll
0x015880BC,0x76645f50,1719,GetStockObject,gdi32.dll
0x015880C0,0x00000000,,,
0x015880C4,0x767ddb60,83,ImmGetVirtualKey,imm32.dll
0x015880C8,0x767d5780,64,ImmGetDefaultIMEWnd,imm32.dll
0x015880CC,0x767d8fa0,119,ImmSetCompositionStringW,imm32.dll
0x015880D0,0x767d7550,28,ImmAssociateContextEx,imm32.dll
0x015880D4,0x767ddbb0,93,ImmIsUIMessageA,imm32.dll
0x015880D8,0x767d2a80,78,ImmGetOpenStatus,imm32.dll
0x015880DC,0x767d4260,60,ImmGetContext,imm32.dll
0x015880E0,0x767ddbe0,94,ImmIsUIMessageW,imm32.dll
0x015880E4,0x767dcbd0,73,ImmGetIMEFileNameA,imm32.dll
0x015880E8,0x767d2a30,63,ImmGetConversionStatus,imm32.dll
0x015880EC,0x767d94d0,121,ImmSetConversionStatus,imm32.dll
0x015880F0,0x767d95b0,123,ImmSetOpenStatus,imm32.dll
0x015880F4,0x767dbba0,101,ImmNotifyIME,imm32.dll
0x015880F8,0x767d8460,58,ImmGetCompositionStringW,imm32.dll
0x015880FC,0x767d8c70,115,ImmSetCandidateWindow,imm32.dll
0x01588100,0x767d9440,120,ImmSetCompositionWindow,imm32.dll
0x01588104,0x767dce00,79,ImmGetProperty,imm32.dll
0x01588108,0x767d81c0,53,ImmGetCandidateListW,imm32.dll
0x0158810C,0x767d58f0,108,ImmReleaseContext,imm32.dll
0x01588110,0x00000000,,,
0x01588114,0x767011a0,1414,Sleep,kernel32.dll
0x01588118,0x766f8da0,1568,WritePrivateProfileStringA,kernel32.dll
0x0158811C,0x76701640,485,GetComputerNameW,kernel32.dll
0x01588120,0x76701980,1108,QueryPerformanceFrequency,kernel32.dll
0x01588124,0x766fe1e0,1107,QueryPerformanceCounter,kernel32.dll
0x01588128,0x767419c0,1372,SetThreadAffinityMask,kernel32.dll
0x0158812C,0x766fb750,682,GetPrivateProfileIntA,kernel32.dll
0x01588130,0x766fb7d0,688,GetPrivateProfileStringA,kernel32.dll
0x01588134,0x76702080,834,GlobalMemoryStatusEx,kernel32.dll
0x01588138,0x76700d00,635,GetModuleHandleA,kernel32.dll
0x0158813C,0x76701a00,802,GetVersionExA,kernel32.dll
0x01588140,0x766feaa0,1595,lstrcmpiA,kernel32.dll
0x01588144,0x76703450,383,FindFirstFileA,kernel32.dll
0x01588148,0x767034c0,400,FindNextFileA,kernel32.dll
0x0158814C,0x76703410,379,FindClose,kernel32.dll
0x01588150,0x76700e00,616,GetLocalTime,kernel32.dll
0x01588154,0x767011b0,249,CreateThread,kernel32.dll
0x01588158,0x767033a0,201,CreateFileA,kernel32.dll
0x0158815C,0x76703820,1563,WriteFile,kernel32.dll
0x01588160,0x76703150,140,CloseHandle,kernel32.dll
0x01588164,0x76715840,534,GetCurrentDirectoryA,kernel32.dll
0x01588168,0x76702180,476,GetCommandLineA,kernel32.dll
0x0158816C,0x767035d0,593,GetFileSize,kernel32.dll
0x01588170,0x76703730,1146,ReadFile,kernel32.dll
0x01588174,0x76739930,690,GetPrivateProfileStructA,kernel32.dll
0x01588178,0x767013e0,1447,TlsAlloc,kernel32.dll
0x0158817C,0x76701210,1448,TlsFree,kernel32.dll
0x01588180,0x766f83c0,1598,lstrcpyA,kernel32.dll
0x01588184,0x766f9080,482,GetComputerNameA,kernel32.dll
0x01588188,0x766f8c30,428,FormatMessageA,kernel32.dll
0x0158818C,0x767037c0,1321,SetFilePointer,kernel32.dll
0x01588190,0x76703580,582,GetFileAttributesA,kernel32.dll
0x01588194,0x766f8990,574,GetEnvironmentVariableA,kernel32.dll
0x01588198,0x76717250,1422,SuspendThread,kernel32.dll
0x0158819C,0x76715c90,767,GetThreadContext,kernel32.dll
0x015881A0,0x76701b90,1236,ResumeThread,kernel32.dll
0x015881A4,0x76716830,1149,ReadProcessMemory,kernel32.dll
0x015881A8,0x767031a0,194,CreateEventA,kernel32.dll
0x015881AC,0x76700960,1383,SetThreadPriority,kernel32.dll
0x015881B0,0x767032e0,1229,ResetEvent,kernel32.dll
0x015881B4,0x76703340,1504,WaitForSingleObject,kernel32.dll
0x015881B8,0x767032c0,1207,ReleaseMutex,kernel32.dll
0x015881BC,0x766f6230,239,CreateSemaphoreA,kernel32.dll
0x015881C0,0x767032d0,1211,ReleaseSemaphore,kernel32.dll
0x015881C4,0x766fe420,832,GlobalLock,kernel32.dll
0x015881C8,0x76700890,821,GlobalAlloc,kernel32.dll
0x015881CC,0x767019c0,1398,SetUnhandledExceptionFilter,kernel32.dll
0x015881D0,0x767031e0,221,CreateMutexA,kernel32.dll
0x015881D4,0x76700850,1129,RaiseException,kernel32.dll
0x015881D8,0x766f9910,1429,TerminateProcess,kernel32.dll
0x015881DC,0x766fea50,545,GetCurrentThread,kernel32.dll
0x015881E0,0x76701960,972,LoadLibraryW,kernel32.dll
0x015881E4,0x76700ba0,634,GetModuleFileNameW,kernel32.dll
0x015881E8,0x76703100,542,GetCurrentProcessId,kernel32.dll
0x015881EC,0x767030f0,541,GetCurrentProcess,kernel32.dll
0x015881F0,0x766f8880,665,GetNumberFormatW,kernel32.dll
0x015881F4,0x766f9350,1054,OutputDebugStringA,kernel32.dll
0x015881F8,0x7700c860,1152,InitializeCriticalSection,kernel32.dll
0x015881FC,0x767006e0,1604,lstrlenA,kernel32.dll
0x01588200,0x76ff6080,759,HeapAlloc,kernel32.dll
0x01588204,0x766ff620,698,GetProcessHeap,kernel32.dll
0x01588208,0x766fe200,849,HeapFree,kernel32.dll
0x0158820C,0x76ff28f0,1369,HeapReAlloc,kernel32.dll
0x01588210,0x76701900,749,GetSystemTime,kernel32.dll
0x01588214,0x76703550,559,GetDiskFreeSpaceW,kernel32.dll
0x01588218,0x767164f0,1055,OutputDebugStringW,kernel32.dll
0x0158821C,0x766f4e90,833,GlobalMemoryStatus,kernel32.dll
0x01588220,0x766f8fb0,1296,SetCurrentDirectoryW,kernel32.dll
0x01588224,0x766f8410,617,GetLocaleInfoA,kernel32.dll
0x01588228,0x76700a20,1076,Process32NextW,kernel32.dll
0x0158822C,0x76701ea0,1074,Process32FirstW,kernel32.dll
0x01588230,0x76706a40,258,CreateToolhelp32Snapshot,kernel32.dll
0x01588234,0x766f4d30,880,InterlockedCompareExchange,kernel32.dll
