decorated,undecorated
AcquireSRWLockExclusive,AcquireSRWLockExclusive
AcquireSRWLockShared,AcquireSRWLockShared
ActivateActCtx,ActivateActCtx
ActivateActCtxWorker,ActivateActCtxWorker
AddAtomA,AddAtomA
AddAtomW,AddAtomW
AddConsoleAliasA,AddConsoleAliasA
AddConsoleAliasW,AddConsoleAliasW
AddDllDirectory,AddDllDirectory
AddIntegrityLabelToBoundaryDescriptor,AddIntegrityLabelToBoundaryDescriptor
AddLocalAlternateComputerNameA,AddLocalAlternateComputerNameA
AddLocalAlternateComputerNameW,AddLocalAlternateComputerNameW
AddRefActCtx,AddRefActCtx
AddRefActCtxWorker,AddRefActCtxWorker
AddResourceAttributeAce,AddResourceAttributeAce
AddSIDToBoundaryDescriptor,AddSIDToBoundaryDescriptor
AddScopedPolicyIDAce,AddScopedPolicyIDAce
AddSecureMemoryCacheCallback,AddSecureMemoryCacheCallback
AddVectoredContinueHandler,AddVectoredContinueHandler
AddVectoredExceptionHandler,AddVectoredExceptionHandler
AdjustCalendarDate,AdjustCalendarDate
AllocConsole,AllocConsole
AllocateUserPhysicalPages,AllocateUserPhysicalPages
AllocateUserPhysicalPagesNuma,AllocateUserPhysicalPagesNuma
AppPolicyGetClrCompat,AppPolicyGetClrCompat
AppPolicyGetCreateFileAccess,AppPolicyGetCreateFileAccess
AppPolicyGetLifecycleManagement,AppPolicyGetLifecycleManagement
AppPolicyGetMediaFoundationCodecLoading,AppPolicyGetMediaFoundationCodecLoading
AppPolicyGetProcessTerminationMethod,AppPolicyGetProcessTerminationMethod
AppPolicyGetShowDeveloperDiagnostic,AppPolicyGetShowDeveloperDiagnostic
AppPolicyGetThreadInitializationType,AppPolicyGetThreadInitializationType
AppPolicyGetWindowingModel,AppPolicyGetWindowingModel
AppXGetOSMaxVersionTested,AppXGetOSMaxVersionTested
ApplicationRecoveryFinished,ApplicationRecoveryFinished
ApplicationRecoveryInProgress,ApplicationRecoveryInProgress
AreFileApisANSI,AreFileApisANSI
AssignProcessToJobObject,AssignProcessToJobObject
AttachConsole,AttachConsole
BackupRead,BackupRead
BackupSeek,BackupSeek
BackupWrite,BackupWrite
BaseCheckAppcompatCache,BaseCheckAppcompatCache
BaseCheckAppcompatCacheEx,BaseCheckAppcompatCacheEx
BaseCheckAppcompatCacheExWorker,BaseCheckAppcompatCacheExWorker
BaseCheckAppcompatCacheWorker,BaseCheckAppcompatCacheWorker
BaseCheckElevation,BaseCheckElevation
BaseCleanupAppcompatCacheSupport,BaseCleanupAppcompatCacheSupport
BaseCleanupAppcompatCacheSupportWorker,BaseCleanupAppcompatCacheSupportWorker
BaseDestroyVDMEnvironment,BaseDestroyVDMEnvironment
BaseDllReadWriteIniFile,BaseDllReadWriteIniFile
BaseDumpAppcompatCache,BaseDumpAppcompatCache
BaseDumpAppcompatCacheWorker,BaseDumpAppcompatCacheWorker
BaseElevationPostProcessing,BaseElevationPostProcessing
BaseFlushAppcompatCache,BaseFlushAppcompatCache
BaseFlushAppcompatCacheWorker,BaseFlushAppcompatCacheWorker
