Address,Module,Function
0x01588000,advapi32.dll,CryptGetHashParam
0x01588004,advapi32.dll,CryptDestroyHash
0x01588008,advapi32.dll,CryptHashData
0x0158800C,advapi32.dll,CryptAcquireContextA
0x01588010,advapi32.dll,CryptCreateHash
0x01588014,advapi32.dll,RegQueryInfoKeyW
0x01588018,advapi32.dll,RegEnumKeyExA
0x0158801C,advapi32.dll,CryptAcquireContextW
0x01588020,advapi32.dll,CryptGenRandom
0x01588024,advapi32.dll,CryptReleaseContext
0x01588028,advapi32.dll,RegSetValueExW
0x0158802C,advapi32.dll,RegCreateKeyExW
0x01588030,advapi32.dll,RegSetValueExA
0x01588034,advapi32.dll,GetUserNameA
0x01588038,advapi32.dll,RegQueryValueExW
0x0158803C,advapi32.dll,RegCloseKey
0x01588040,advapi32.dll,RegOpenKeyExA
0x01588044,advapi32.dll,RegOpenKeyExW
0x01588048,advapi32.dll,GetUserNameW
0x0158804C,advapi32.dll,RegCreateKeyExA
0x01588050,advapi32.dll,RegQueryValueExA
0x01588058,comdlg32.dll,ChooseColorA
0x01588060,dinput8.dll,DirectInput8Create
0x01588068,dsound.dll,DirectSoundCreate8
0x01588070,gdi32.dll,GetTextMetricsW
0x01588074,gdi32.dll,EnumFontFamiliesExW
0x01588078,gdi32.dll,GetKerningPairsW
0x0158807C,gdi32.dll,CreateFontW
0x01588080,gdi32.dll,GetGlyphOutlineW
0x01588084,gdi32.dll,CreateCompatibleDC
0x01588088,gdi32.dll,SelectObject
0x0158808C,gdi32.dll,BitBlt
0x01588090,gdi32.dll,DeleteDC
0x01588094,gdi32.dll,DeleteObject
0x01588098,gdi32.dll,TextOutA
0x0158809C,gdi32.dll,SetTextColor
0x015880A0,gdi32.dll,SetBkMode
0x015880A4,gdi32.dll,CreateFontA
0x015880A8,gdi32.dll,CreateDIBSection
0x015880AC,gdi32.dll,GetDeviceCaps
0x015880B0,gdi32.dll,CreateDCA
0x015880B4,gdi32.dll,SetDeviceGammaRamp
0x015880B8,gdi32.dll,GetDeviceGammaRamp
0x015880BC,gdi32.dll,GetStockObject
0x015880C4,imm32.dll,ImmGetVirtualKey
0x015880C8,imm32.dll,ImmGetDefaultIMEWnd
0x015880CC,imm32.dll,ImmSetCompositionStringW
0x015880D0,imm32.dll,ImmAssociateContextEx
0x015880D4,imm32.dll,ImmIsUIMessageA
0x015880D8,imm32.dll,ImmGetOpenStatus
0x015880DC,imm32.dll,ImmGetContext
0x015880E0,imm32.dll,ImmIsUIMessageW
0x015880E4,imm32.dll,ImmGetIMEFileNameA
0x015880E8,imm32.dll,ImmGetConversionStatus
0x015880EC,imm32.dll,ImmSetConversionStatus
0x015880F0,imm32.dll,ImmSetOpenStatus
0x015880F4,imm32.dll,ImmNotifyIME
0x015880F8,imm32.dll,ImmGetCompositionStringW
0x015880FC,imm32.dll,ImmSetCandidateWindow
0x01588100,imm32.dll,ImmSetCompositionWindow
0x01588104,imm32.dll,ImmGetProperty
0x01588108,imm32.dll,ImmGetCandidateListW
0x0158810C,imm32.dll,ImmReleaseContext
0x01588114,kernel32.dll,Sleep
0x01588118,kernel32.dll,WritePrivateProfileStringA
0x0158811C,kernel32.dll,GetComputerNameW
0x01588120,kernel32.dll,QueryPerformanceFrequency
0x01588124,kernel32.dll,QueryPerformanceCounter
0x01588128,kernel32.dll,SetThreadAffinityMask
0x0158812C,kernel32.dll,GetPrivateProfileIntA
0x01588130,kernel32.dll,GetPrivateProfileStringA
0x01588134,kernel32.dll,GlobalMemoryStatusEx
0x01588138,kernel32.dll,GetModuleHandleA
0x0158813C,kernel32.dll,GetVersionExA
0x01588140,kernel32.dll,lstrcmpiA
0x01588144,kernel32.dll,FindFirstFileA
0x01588148,kernel32.dll,FindNextFileA
0x0158814C,kernel32.dll,FindClose
0x01588150,kernel32.dll,GetLocalTime
0x01588154,kernel32.dll,CreateThread
0x01588158,kernel32.dll,CreateFileA
0x0158815C,kernel32.dll,WriteFile
0x01588160,kernel32.dll,CloseHandle
0x01588164,kernel32.dll,GetCurrentDirectoryA
0x01588168,kernel32.dll,GetCommandLineA
0x0158816C,kernel32.dll,GetFileSize
0x01588170,kernel32.dll,ReadFile
0x01588174,kernel32.dll,GetPrivateProfileStructA
0x01588178,kernel32.dll,TlsAlloc
0x0158817C,kernel32.dll,TlsFree
0x01588180,kernel32.dll,lstrcpyA
0x01588184,kernel32.dll,GetComputerNameA
0x01588188,kernel32.dll,FormatMessageA
0x0158818C,kernel32.dll,SetFilePointer
0x01588190,kernel32.dll,GetFileAttributesA
0x01588194,kernel32.dll,GetEnvironmentVariableA
0x01588198,kernel32.dll,SuspendThread
0x0158819C,kernel32.dll,GetThreadContext
0x015881A0,kernel32.dll,ResumeThread
0x015881A4,kernel32.dll,ReadProcessMemory
0x015881A8,kernel32.dll,CreateEventA
0x015881AC,kernel32.dll,SetThreadPriority
0x015881B0,kernel32.dll,ResetEvent
0x015881B4,kernel32.dll,WaitForSingleObject
0x015881B8,kernel32.dll,ReleaseMutex
0x015881BC,kernel32.dll,CreateSemaphoreA
0x015881C0,kernel32.dll,ReleaseSemaphore
0x015881C4,kernel32.dll,GlobalLock
0x015881C8,kernel32.dll,GlobalAlloc
0x015881CC,kernel32.dll,SetUnhandledExceptionFilter
0x015881D0,kernel32.dll,CreateMutexA
0x015881D4,kernel32.dll,RaiseException
0x015881D8,kernel32.dll,TerminateProcess
0x015881DC,kernel32.dll,GetCurrentThread
0x015881E0,kernel32.dll,LoadLibraryW
0x015881E4,kernel32.dll,GetModuleFileNameW
0x015881E8,kernel32.dll,GetCurrentProcessId
0x015881EC,kernel32.dll,GetCurrentProcess
0x015881F0,kernel32.dll,GetNumberFormatW
0x015881F4,kernel32.dll,OutputDebugStringA
0x015881F8,ntdll.dll,RtlInitializeCriticalSection
0x015881FC,kernel32.dll,lstrlenA
0x01588200,ntdll.dll,RtlAllocateHeap
0x01588204,kernel32.dll,GetProcessHeap
