patch_addr,mem_old,patch
0x1003caf,90E85BF4A369,FF1518875801
0x1003cc8,90E842F4A369,FF1518875801
0x10055c6,90E844DBA369,FF1518875801
0x1005604,90E806DBA369,FF1518875801
0x1005637,90E8D3DAA369,FF1518875801
0x100566a,90E8A0DAA369,FF1518875801
0x100575a,90E8B0D9A369,FF1518875801
0x1005798,90E872D9A369,FF1518875801
0x10057cb,90E83FD9A369,FF1518875801
0x10057fe,90E80CD9A369,FF1518875801
0x10062d0,90E9DE3CA169,FF2510865801
0x10062e0,90E9E339A169,FF250C865801
0x100630f,90E8CC079F69,FF1514885801
0x100662a,90E89936A169,FF150C865801
0x1006632,90E87C39A169,FF1510865801
0x100685a,90E881029F69,FF1514885801
0x1006d9c,90E83FFD9E69,FF1514885801
0x1007944,90E897F19E69,FF1514885801
0x101c8a8,90E86268A269,FF1518875801
0x101c8e9,90E82168A269,FF1518875801
0x101c98e,90E87C67A269,FF1518875801
0x101c9cf,90E83B67A269,FF1518875801
0x1021012,90E898AE9D69,FF15AC885801
0x1028c65,90E876DE9C69,FF1514885801
0x1028c8d,90E84EDE9C69,FF1514885801
0x1028cb5,90E826DE9C69,FF1514885801
0x1028e96,90E86EDE9C69,FF1588885801
0x1028ec7,90E83DDE9C69,FF1588885801
0x1028efe,90E806DE9C69,FF1588885801
0x102d279,90E991E59C69,FF257C875801
0x10307e9,90E821B09C69,FF157C875801
0x103080a,90E867659C69,FF15BC885801
0x103808f,90E97B329C69,FF2548875801
0x10380cf,90E93B329C69,FF2548875801
0x103a4d9,90E8310E9C69,FF1548875801
0x103aa26,90E8E4089C69,FF1548875801
0x103ab36,90E8D4079C69,FF1548875801
0x103aced,90E81D069C69,FF1548875801
0x103ad49,90E8C1059C69,FF1548875801
0x103b50a,90E800FE9B69,FF1548875801
0x103b667,90E8A3FC9B69,FF1548875801
0x104337d,90E88DFD9F69,FF1518875801
0x1050d94,90E876A59A69,FF1548875801
0x1050e69,90E8A1A49A69,FF1548875801
0x1051994,90E876999A69,FF1548875801
0x1051b12,90E8F8979A69,FF1548875801
0x1054bde,90E8CCBCFF74,FF1574835801
0x1054c09,90E8A1BCFF74,FF1574835801
0x1054c76,90E834BCFF74,FF1574835801
0x1054cdf,90E8F20A9A69,FF1500865801
0x1054cff,90E856D89969,FF1504865801
0x1054d6f,90E83BBBFF74,FF1574835801
0x1054dc8,90E8C7BF9969,FF1560875801
0x1054e38,90E857BF9969,FF1560875801
0x1054f25,90E8D5B09969,FF1564875801
0x1054f45,90E800C59969,FF1574875801
0x1054fc5,90E835B09969,FF1564875801
0x1054fe5,90E8BBB69969,FF1550875801
0x1055134,90E8C6AE9969,FF1564875801
0x1055178,90E8ACB89969,FF15B8875801
0x1055297,90E8C4A99969,FF15C0875801
0x105535a,90E864569969,FF15FC855801
0x1055663,90E878149A69,FF1514885801
