Call address,Destination,Module,Function,new
0xa577e5,0x6a1fb730,umbraoptimizer32.dll,?getOptimizerInfoValue@Umbra@@YAHW4InfoValue@1@@Z,false
0xa577eb,0x6a1fcbb0,umbraoptimizer32.dll,?insertObject@Scene@Umbra@@QAEPBVSceneObject@2@PBVSceneModel@2@ABVMatrix4x4@2@IIW4MatrixFormat@2@W4TriangleWinding@2@PBVVector2@2@PBVVector3@2@5@Z,false
0xa577f1,0x6a1fdbd0,umbraoptimizer32.dll,?insertModel@Scene@Umbra@@QAEPBVSceneModel@2@PBMPBGHHHM@Z,false
0xa577f7,0x6a343110,steam_api.dll,SteamApps,false
0xa577fd,0x6a3431a0,steam_api.dll,SteamFriends,false
0xa57803,0x6a342de0,steam_api.dll,SteamAPI_Init,false
0xa57809,0x6a343210,steam_api.dll,SteamUser,false
0xa5780f,0x6a3430d0,steam_api.dll,SteamAPI_Shutdown,false
0xa57815,0x603590a2,awesomium.dll,?CreateFromUTF8@WebString@Awesomium@@SA?AV12@PBDI@Z,false
0xa5781b,0x60358e76,awesomium.dll,??1WebString@Awesomium@@QAE@XZ,false
0xa57821,0x60357d0f,awesomium.dll,?Shutdown@WebCore@Awesomium@@SAXXZ,false
0xa57827,0x60357ba3,awesomium.dll,??0WebConfig@Awesomium@@QAE@XZ,false
0xa5782d,0x60359088,awesomium.dll,??4WebString@Awesomium@@QAEAAV01@ABV01@@Z,false
0xa57833,0x60357cc8,awesomium.dll,?Initialize@WebCore@Awesomium@@SAPAV12@ABUWebConfig@2@@Z,false
0xa57839,0x60351eb9,awesomium.dll,??0WebPreferences@Awesomium@@QAE@XZ,false
0xa5783f,0x60356033,awesomium.dll,??0WebURL@Awesomium@@QAE@ABVWebString@1@@Z,false
0xa57845,0x6037f3d5,awesomium.dll,??1WebURL@Awesomium@@QAE@XZ,false
0xa5784b,0x6032ef35,awesomium.dll,??1WebPreferences@Awesomium@@QAE@XZ,false
0xa57851,0x6032edb3,awesomium.dll,??1WebConfig@Awesomium@@QAE@XZ,false
0xa57857,0x605d2d13,awesomium.dll,?height@BitmapSurface@Awesomium@@QBEHXZ,false
0xa5785d,0x60856f54,awesomium.dll,?width@BitmapSurface@Awesomium@@QBEHXZ,false
0xa57863,0x60815d54,awesomium.dll,?buffer@BitmapSurface@Awesomium@@QBEPBEXZ,false
0xa57869,0x5f3e6320,ngclient.aes,Ordinal#1,false
0xa5786f,0x5f3e62c0,ngclient.aes,Ordinal#2,false
0xa57875,0x76efc860,ntdll.dll,RtlInitializeCriticalSection,false
0xa5787b,0x76ecfc70,ntdll.dll,RtlDeleteCriticalSection,false
0xa57881,0x76ee00b0,ntdll.dll,RtlEnterCriticalSection,false
0xa57887,0x76ede8b0,ntdll.dll,RtlLeaveCriticalSection,false
0xa5788d,0x7584ea80,kernel32.dll,InterlockedIncrement,false
0xa57893,0x7584eb00,kernel32.dll,InterlockedDecrement,false
0xa57899,0x7584e290,kernel32.dll,WideCharToMultiByte,false
0xa5789f,0x7584e250,kernel32.dll,TlsSetValue,false
0xa578a5,0x7584e1c0,kernel32.dll,TlsGetValue,false
0xa578ab,0x7584e1b0,kernel32.dll,GetCurrentThreadId,false
0xa578b1,0x75850720,kernel32.dll,SizeofResource,false
0xa578b7,0x7584f5e0,kernel32.dll,LockResource,false
0xa578bd,0x7584eae0,kernel32.dll,LoadResource,false
0xa578c3,0x75842eb0,kernel32.dll,FindResourceA,false
0xa578c9,0x7584b4b0,kernel32.dll,FindResourceExA,false
0xa578cf,0x75850660,kernel32.dll,GetACP,false
0xa578d5,0x758510f0,kernel32.dll,GetModuleHandleW,false
0xa578db,0x7584e240,kernel32.dll,SetLastError,false
0xa578e1,0x7584f7f0,kernel32.dll,GetProcAddress,false
0xa578e7,0x7584e350,kernel32.dll,lstrlenW,false
0xa578ed,0x7584e220,kernel32.dll,MultiByteToWideChar,false
0xa578f3,0x75851bb0,kernel32.dll,GetSystemInfo,false
0xa578f9,0x758510d0,kernel32.dll,GetModuleFileNameA,false
0xa578ff,0x75850e70,kernel32.dll,LoadLibraryA,false
0xa57905,0x75850d80,kernel32.dll,FreeLibrary,false
0xa5790b,0x7584e2b0,kernel32.dll,GetLastError,false
0xa57911,0x758506e0,kernel32.dll,lstrlenA,false
0xa57917,0x75849350,kernel32.dll,OutputDebugStringA,false
0xa5791d,0x75848880,kernel32.dll,GetNumberFormatW,false
0xa57923,0x758530f0,kernel32.dll,GetCurrentProcess,false
0xa57929,0x75853100,kernel32.dll,GetCurrentProcessId,false
0xa5792f,0x75850ba0,kernel32.dll,GetModuleFileNameW,false
0xa57935,0x75851960,kernel32.dll,LoadLibraryW,false
0xa5793b,0x7584ea50,kernel32.dll,GetCurrentThread,false
0xa57941,0x75849910,kernel32.dll,TerminateProcess,false
0xa57947,0x75850850,kernel32.dll,RaiseException,false
0xa5794d,0x758531e0,kernel32.dll,CreateMutexA,false
0xa57953,0x758519c0,kernel32.dll,SetUnhandledExceptionFilter,false
0xa57959,0x75850890,kernel32.dll,GlobalAlloc,false
0xa5795f,0x7584e420,kernel32.dll,GlobalLock,false
0xa57965,0x7584e370,kernel32.dll,GlobalUnlock,false
0xa5796b,0x758511a0,kernel32.dll,Sleep,false
0xa57971,0x75848da0,kernel32.dll,WritePrivateProfileStringA,false
0xa57977,0x75851640,kernel32.dll,GetComputerNameW,false
0xa5797d,0x75851980,kernel32.dll,QueryPerformanceFrequency,false
0xa57983,0x7584e1e0,kernel32.dll,QueryPerformanceCounter,false
0xa57989,0x758919c0,kernel32.dll,SetThreadAffinityMask,false
0xa5798f,0x7584b750,kernel32.dll,GetPrivateProfileIntA,false
0xa57995,0x7584b7d0,kernel32.dll,GetPrivateProfileStringA,false
0xa5799b,0x75852080,kernel32.dll,GlobalMemoryStatusEx,false
0xa579a1,0x75850d00,kernel32.dll,GetModuleHandleA,false
0xa579a7,0x75851a00,kernel32.dll,GetVersionExA,false
0xa579ad,0x7584eaa0,kernel32.dll,lstrcmpiA,false
0xa579b3,0x75853450,kernel32.dll,FindFirstFileA,false
0xa579b9,0x758534c0,kernel32.dll,FindNextFileA,false
0xa579bf,0x75853410,kernel32.dll,FindClose,false
0xa579c5,0x75850e00,kernel32.dll,GetLocalTime,false
0xa579cb,0x758511b0,kernel32.dll,CreateThread,false
0xa579d1,0x758533a0,kernel32.dll,CreateFileA,false
0xa579d7,0x75853820,kernel32.dll,WriteFile,false
0xa579dd,0x75853150,kernel32.dll,CloseHandle,false
0xa579e3,0x75865840,kernel32.dll,GetCurrentDirectoryA,false
0xa579e9,0x75852180,kernel32.dll,GetCommandLineA,false
