patch_addr,mem_old,patch
0x14ad3b2,90E9E81E8874,FF2500805801
0x14ad3ac,90E9BE258874,FF2504805801
0x14ad3a6,90E9B4228874,FF2508805801
0x14ad3a0,90E9BA2D8874,FF250C805801
0x14ad39a,90E9A0218874,FF2510805801
0x14ad394,90E9961D8874,FF2514805801
0x14ad38e,90E94C5D8874,FF2518805801
0x14ad388,90E902268874,FF251C805801
0x14ad382,90E998358874,FF2520805801
0x14ad37c,90E96E278874,FF2524805801
0x14ad376,90E9A41E8874,FF2528805801
0x14ad370,90E9EA1E8874,FF252C805801
0xa57c58,90E9928A2D75,FF2530805801
0xa57c7c,90E96EBD2D75,FF2534805801
0xa57c76,90E994722D75,FF2538805801
0xa57c5e,90E9EC742D75,FF253C805801
0xa57c4c,90E9EE752D75,FF2540805801
0xa57c70,90E96A732D75,FF2544805801
0xa57c6a,90E9D07C2D75,FF2548805801
0xa57c64,90E916792D75,FF254C805801
0xa57c52,90E928742D75,FF2550805801
0xa57c46,90E944D7AA74,FF2558805801
0x14ac046,90E9A4731468,FF2560805801
0x14eddd8,90E9F224CF66,FF2568805801
0x14ad36a,90E9D09B9474,FF2570805801
0x14ad364,90E926B39474,FF2574805801
0x14ad35e,90E96CB49474,FF2578805801
0x14ad358,90E9B2739474,FF257C805801
0x14ad352,90E9F86D9474,FF2580805801
0xa57bf2,90E998F13975,FF2584805801
0xa57bf8,90E9A2F03975,FF2588805801
0xa57bfe,90E9DCF13975,FF258C805801
0xa57c04,90E986EC3975,FF2590805801
0xa57c0a,90E970DC3975,FF2594805801
0xa57c40,90E92AD53975,FF2598805801
0xa57c3a,90E950F23975,FF259C805801
0xa57c34,90E986F33975,FF25A0805801
0xa57c2e,90E96CD63975,FF25A4805801
0xa57c28,90E952E23975,FF25A8805801
0xa57c22,90E998E33975,FF25AC805801
0xa57c1c,90E9CED43975,FF25B0805801
0xa57c16,90E9B4123A75,FF25B4805801
0xa57c10,90E95A323A75,FF25B8805801
0xa57bec,90E95EE33975,FF25BC805801
0x14a9b4a,90E91040B773,FF25C4805801
0x14a9b50,90E92ABCB673,FF25C8805801
0x14a9b44,90E956F4B673,FF25CC805801
0x14a9b3e,90E90CDAB673,FF25D0805801
0x14a9ae4,90E9C640B773,FF25D4805801
0x14a9af0,90E98A8FB673,FF25D8805801
0x14a9af6,90E964A7B673,FF25DC805801
0x14a9afc,90E9DE40B773,FF25E0805801
0x14a9b02,90E9C830B773,FF25E4805801
0x14a9b08,90E9228FB673,FF25E8805801
0x14a9b0e,90E9BCF9B673,FF25EC805801
0x14a9b14,90E996FAB673,FF25F0805801
0x14a9b1a,90E98020B773,FF25F4805801
0x14a9b20,90E93AE9B673,FF25F8805801
0x14a9b26,90E944F1B673,FF25FC805801
0x14a9b2c,90E90EF9B673,FF2500815801
0x14a9b32,90E9C832B773,FF2504815801
0x14a9b38,90E982E6B673,FF2508815801
0x14a9aea,90E900BEB673,FF250C815801
0xa5796a,90E93098DF74,FF2514815801
0xa57970,90E92A14DF74,FF2518815801
0xa57976,90E9C49CDF74,FF251C815801
0xa5797c,90E9FE9FDF74,FF2520815801
0xa57982,90E95868DF74,FF2524815801
0xa57988,90E932A0E374,FF2528815801
0xa5798e,90E9BC3DDF74,FF252C815801
0xa57994,90E9363EDF74,FF2530815801
0xa5799a,90E9E0A6DF74,FF2534815801
0xa579a0,90E95A93DF74,FF2538815801
0xa579a6,90E954A0DF74,FF253C815801
0xa579ac,90E9EE70DF74,FF2540815801
0xa579b2,90E998BADF74,FF2544815801
0xa579b8,90E902BBDF74,FF2548815801
0xa579be,90E94CBADF74,FF254C815801
0xa579c4,90E93694DF74,FF2550815801
0xa579ca,90E9E097DF74,FF2554815801
0xa579d0,90E9CAB9DF74,FF2558815801
0xa579d6,90E944BEDF74,FF255C815801
0xa579dc,90E96EB7DF74,FF2560815801
0xa579e2,90E958DEE074,FF2564815801
0xa579e8,90E992A7DF74,FF2568815801
0xa579ee,90E9DCBBDF74,FF256C815801
0xa579f4,90E936BDDF74,FF2570815801
0xa579fa,90E9301FE374,FF2574815801
0xa57a00,90E9DA99DF74,FF2578815801
0xa57a06,90E90498DF74,FF257C815801
0xa57a0c,90E9AE09DF74,FF2580815801
0xa57a12,90E96816DF74,FF2584815801
0xa57a18,90E91212DF74,FF2588815801
0xa57a1e,90E99CBDDF74,FF258C815801
0xa57a24,90E956BBDF74,FF2590815801
0xa57a2a,90E9600FDF74,FF2594815801
0xa57a30,90E91AF8E074,FF2598815801
0xa57a36,90E954E2E074,FF259C815801
0xa57a3c,90E94EA1DF74,FF25A0815801
0xa57a42,90E9E8EDE074,FF25A4815801
0xa57a48,90E952B7DF74,FF25A8815801
0xa57a4e,90E90C8FDF74,FF25AC815801
0xa57a54,90E986B8DF74,FF25B0815801
0xa57a5a,90E9E0B8DF74,FF25B4815801
0xa57a60,90E95AB8DF74,FF25B8815801
0xa57a66,90E9C4E7DE74,FF25BC815801
0xa57a6c,90E95EB8DF74,FF25C0815801
0xa5795e,90E9BC6ADF74,FF25C4815801
0xa57958,90E9328FDF74,FF25C8815801
0xa57952,90E968A0DF74,FF25CC815801
0xa5794c,90E98EB8DF74,FF25D0815801
0xa57946,90E9048FDF74,FF25D4815801
0xa57940,90E9CA1FDF74,FF25D8815801
0xa5793a,90E91071DF74,FF25DC815801
0xa57934,90E926A0DF74,FF25E0815801
