Module,Address,Function
host-bind.exe,0040A10F,OptionalHeader.AddressOfEntryPoint
neomon.dll,100011B0,NIGS_1
neomon.dll,10001200,NIGS_2
neomon.dll,10001380,NIGS_3
neomon.dll,10001480,NIGS_4
neomon.dll,10001490,NIGS_5
neomon.dll,100014B0,NIGS_7
neomon.dll,100014D0,NIGS_6
neomon.dll,10443000,OptionalHeader.AddressOfEntryPoint
msvcr90.dll,673F1E18,const std::exception::`vftable'
msvcr90.dll,673F1E38,const std::bad_cast::`vftable'
msvcr90.dll,673F1E44,const std::bad_typeid::`vftable'
msvcr90.dll,673F1E50,const std::__non_rtti_object::`vftable'
msvcr90.dll,673F1E7C,const exception::`vftable'
msvcr90.dll,673F32C8,_wctype
msvcr90.dll,67411AA9,int (__cdecl * __cdecl _set_new_handler(int (__cdecl *)(unsigned int)))(unsigned int)
msvcr90.dll,67411AE4,int (__cdecl * __cdecl _set_new_handler(int))(unsigned int)
msvcr90.dll,67411AF2,int (__cdecl * __cdecl _query_new_handler(void))(unsigned int)
msvcr90.dll,67411B04,_callnewh
msvcr90.dll,67411B31,void (__cdecl * __cdecl set_new_handler(void (__cdecl *)(void)))(void)
msvcr90.dll,67411B41,int __cdecl _set_new_mode(int)
msvcr90.dll,67411B85,int __cdecl _query_new_mode(void)
msvcr90.dll,67411B90,_set_error_mode
msvcr90.dll,67411BE0,__set_app_type
msvcr90.dll,67411BF4,__get_app_type
msvcr90.dll,67411BFF,__setusermatherr
msvcr90.dll,67412157,_amsg_exit
msvcr90.dll,674121EE,_initterm
msvcr90.dll,67412211,_initterm_e
msvcr90.dll,6741223A,_get_wpgmptr
msvcr90.dll,6741227B,_get_pgmptr
msvcr90.dll,67412455,exit
msvcr90.dll,67412470,_exit
msvcr90.dll,6741248B,_cexit
msvcr90.dll,6741249F,_c_exit
msvcr90.dll,6741271F,__wgetmainargs
msvcr90.dll,67412793,__getmainargs
msvcr90.dll,67412A57,__p__acmdln
msvcr90.dll,67412A62,__p__wcmdln
msvcr90.dll,67412A6D,__p__amblksiz
msvcr90.dll,67412A78,__p___argc
msvcr90.dll,67412A83,__p___argv
msvcr90.dll,67412A8E,__p___wargv
msvcr90.dll,67412A99,__p__commode
msvcr90.dll,67412AA4,__p__daylight
msvcr90.dll,67412AAE,__p__dstbias
msvcr90.dll,67412AB8,__p__environ
msvcr90.dll,67412AC3,__p__wenviron
msvcr90.dll,67412ACE,__p__fmode
msvcr90.dll,67412AD9,__p___initenv
msvcr90.dll,67412AE4,__p___winitenv
msvcr90.dll,67412AEF,__p__mbctype
msvcr90.dll,67412AFA,__p__mbcasemap
msvcr90.dll,67412B05,__p___mb_cur_max
msvcr90.dll,67412B32,__p__pctype
msvcr90.dll,67412B5F,__p__pwctype
msvcr90.dll,67412B6A,__p__pgmptr
msvcr90.dll,67412B75,__p__wpgmptr
msvcr90.dll,67412B80,__p__timezone
msvcr90.dll,67412B8A,__p__tzname
msvcr90.dll,67412D40,OptionalHeader.AddressOfEntryPoint
msvcr90.dll,67412E16,_unlock
msvcr90.dll,67412EFA,_lock
msvcr90.dll,67413251,_endthread
msvcr90.dll,67413331,_beginthread
msvcr90.dll,674133EF,_endthreadex
msvcr90.dll,674134CD,_beginthreadex
msvcr90.dll,67413582,_encode_pointer
msvcr90.dll,674135F9,_encoded_null
msvcr90.dll,67413607,_decode_pointer
msvcr90.dll,6741368C,___fls_getvalue@4
msvcr90.dll,674136AB,__get_tlsindex
msvcr90.dll,674136AB,__get_flsindex
msvcr90.dll,674136B6,__set_flsgetvalue
msvcr90.dll,674136EF,___fls_setvalue@8
msvcr90.dll,67413753,_initptd
msvcr90.dll,674138BD,_getptd
msvcr90.dll,674138DC,_freefls
msvcr90.dll,67413A83,__threadid
msvcr90.dll,67413A8E,__threadhandle
msvcr90.dll,67414792,memcmp
msvcr90.dll,67416074,atol
msvcr90.dll,6741608F,_atol_l
msvcr90.dll,674160AD,atoi
msvcr90.dll,674160BD,_atoi_l
msvcr90.dll,674160CD,_atoi64
msvcr90.dll,674160E8,_atoi64_l
msvcr90.dll,67416106,_swab
msvcr90.dll,67416341,_wtol
msvcr90.dll,6741635C,_wtol_l
msvcr90.dll,6741637A,_wtoi
msvcr90.dll,6741638A,_wtoi_l
msvcr90.dll,6741639A,_wtoi64
msvcr90.dll,674163B5,_wtoi64_l
msvcr90.dll,6741641C,_itoa
msvcr90.dll,6741644B,_ltoa
msvcr90.dll,67416477,_ultoa
msvcr90.dll,6741650A,_i64toa
msvcr90.dll,67416542,_ui64toa
