Module,Address,Function,Bytes,Modname,Symname
host-bind.exe,00C43000,GetModuleHandleW,76CC10F0,KERNEL32,GetModuleHandleW
host-bind.exe,00C43004,IsDebuggerPresent,76CC2370,KERNEL32,IsDebuggerPresent
host-bind.exe,00C43008,InitializeSListHead,77C08DF0,ntdll,RtlInitializeSListHead
host-bind.exe,00C4300C,GetSystemTimeAsFileTime,76CBF630,KERNEL32,GetSystemTimeAsFileTime
host-bind.exe,00C43010,GetCurrentThreadId,76CBE1B0,KERNEL32,GetCurrentThreadId
host-bind.exe,00C43014,GetCurrentProcessId,76CC3100,KERNEL32,GetCurrentProcessId
host-bind.exe,00C43018,QueryPerformanceCounter,76CBE1E0,KERNEL32,QueryPerformanceCounter
host-bind.exe,00C4301C,IsProcessorFeaturePresent,76CC0E10,KERNEL32,IsProcessorFeaturePresent
host-bind.exe,00C43020,TerminateProcess,76CB9910,KERNEL32,TerminateProcess
host-bind.exe,00C43024,GetCurrentProcess,76CC30F0,KERNEL32,GetCurrentProcess
host-bind.exe,00C43028,SetUnhandledExceptionFilter,76CC19C0,KERNEL32,SetUnhandledExceptionFilter
host-bind.exe,00C4302C,UnhandledExceptionFilter,76CD72E0,KERNEL32,UnhandledExceptionFilter
host-bind.exe,00C43030,LoadLibraryA,76CC0E70,KERNEL32,LoadLibraryA
host-bind.exe,00C43034,GetProcAddress,76CBF7F0,KERNEL32,GetProcAddress
host-bind.exe,00C43038,GetModuleHandleA,76CC0D00,KERNEL32,GetModuleHandleA
host-bind.exe,00C4303C,Sleep,76CC11A0,KERNEL32,Sleep
host-bind.exe,00C43044,"public: class std::basic_ostream<char, struct std::char_traits<char>> & __thiscall std::basic_ostream<char, struct std::char_traits<char>>::operator<<(int)",66CC30B0,MSVCP140,"std::basic_ostream<char,std::char_traits<char> >::operator<<"
host-bind.exe,00C43048,"public: class std::basic_ostream<char, struct std::char_traits<char>> & __thiscall std::basic_ostream<char, struct std::char_traits<char>>::operator<<(unsigned long)",66CC31C0,MSVCP140,"std::basic_ostream<char,std::char_traits<char> >::operator<<"
