subroutine,Instruction,Call address,Destination,Resolved name
-,call-near,0x10006fa6,0x67c272ca,
-,call-near,0x10009c34,0x61009c3c,
-,call-near,0x1000e31e,0x67ea0e76,
-,jmp-far,0x100133dc,0x61d025ff,
-,jmp-far,0x10013434,0x61c825ff,
-,jmp-far,0x1001343a,0x613c25ff,
-,jmp-far,0x10013440,0x615025ff,
-,jmp-far,0x10013446,0x616025ff,
-,jmp-far,0x10013ab0,0x618425ff,
-,jmp-far,0x10013ab6,0x618c25ff,
-,jmp-far,0x10013abc,0x619825ff,
-,jmp-far,0x10013c6e,0x61a825ff,
-,jmp-far,0x10013c74,0x61ac25ff,
-,jmp-far,0x10013c7a,0x61b425ff,
-,jmp-far,0x10013d1c,0x61bc25ff,
-,jmp-far,0x10013d22,0x61c025ff,
-,jmp-far,0x10013d28,0x61c425ff,
-,jmp-far,0x10013d2e,0x621c25ff,
-,jmp-far,0x10013d34,0x621825ff,
-,jmp-far,0x10013d3a,0x622025ff,
-,jmp-far,0x10013d40,0x61f825ff,
-,jmp-far,0x10013d46,0x61f425ff,
-,jmp-far,0x10013d4c,0x61f025ff,
-,jmp-far,0x10013d52,0x600025ff,
-,jmp-far,0x10013d60,0x61e425ff,
-,jmp-far,0x10013d66,0x61dc25ff,
-,call-far,0x10001115,0x6348a166,
-,call-far,0x10001ac3,0x64f44d8b,
-,call-far,0x10001ec8,0x63b006c7,
-,call-far,0x10003c69,0x766a006a,
-,call-far,0x100046f6,0x656a006a,
-,call-far,0x1000510b,0x60244c8d,
-,call-far,0x10005273,0x766a006a,
-,call-far,0x100052df,0x766a006a,
-,call-far,0x10005635,0x656a006a,
-,call-far,0x100059e2,0x703bc033,
-,call-far,0x10005a49,0x703bc033,
-,call-far,0x100072dd,0x748bc033,
-,call-far,0x1000736b,0x748bc033,
-,call-far,0x100076b1,0x736a006a,
-,call-far,0x10007714,0x736a006a,
-,call-far,0x100078a4,0x736a006a,
-,call-far,0x10007906,0x736a006a,
-,call-far,0x10007969,0x736a006a,
-,call-far,0x100079d0,0x736a006a,
-,call-far,0x10007a35,0x736a006a,
-,call-far,0x10007a92,0x736a006a,
-,call-far,0x10007af5,0x736a006a,
-,call-far,0x10007b58,0x736a006a,
-,call-far,0x10007bbd,0x736a006a,
-,call-far,0x10007c22,0x736a006a,
-,call-far,0x10007c89,0x736a006a,
-,call-far,0x10007cec,0x736a006a,
-,call-far,0x10007d4f,0x736a006a,
-,call-far,0x10007dae,0x736a006a,
-,call-far,0x10007e13,0x736a006a,
-,call-far,0x10007e78,0x736a006a,
-,call-far,0x10007ed9,0x736a006a,
-,call-far,0x10007f38,0x736a006a,
-,call-far,0x10007f9f,0x736a006a,
-,call-far,0x10008002,0x736a006a,
-,call-far,0x10008065,0x736a006a,
-,call-far,0x100080c4,0x736a006a,
-,call-far,0x10008123,0x736a006a,
-,call-far,0x10008180,0x736a006a,
-,call-far,0x100081e7,0x736a006a,
-,call-far,0x1000824e,0x736a006a,
-,call-far,0x100082b5,0x736a006a,
-,call-far,0x1000831c,0x736a006a,
-,call-far,0x10008381,0x736a006a,
-,call-far,0x100083e8,0x736a006a,
-,call-far,0x1000844d,0x736a006a,
-,call-far,0x100084b4,0x736a006a,
-,call-far,0x1000851b,0x736a006a,
-,call-far,0x1000857c,0x736a006a,
-,call-far,0x100085df,0x736a006a,
-,call-far,0x10008644,0x736a006a,
-,call-far,0x100086a5,0x736a006a,
-,call-far,0x1000870a,0x736a006a,
-,call-far,0x10008765,0x736a006a,
-,call-far,0x100087d2,0x736a006a,
-,call-far,0x10008839,0x736a006a,
-,call-far,0x1000889a,0x736a006a,
-,call-far,0x100088ff,0x736a006a,
-,call-far,0x10008964,0x736a006a,
-,call-far,0x100089cb,0x736a006a,
-,call-far,0x10008a30,0x736a006a,
-,call-far,0x10008a97,0x736a006a,
-,call-far,0x10008afc,0x736a006a,
-,call-far,0x10008b59,0x736a006a,
-,call-far,0x10008bbc,0x736a006a,
-,call-far,0x10008c1d,0x736a006a,
-,call-far,0x10008c82,0x736a006a,
-,call-far,0x10008ce5,0x736a006a,
-,call-far,0x10008d50,0x736a006a,
-,call-far,0x10008db1,0x736a006a,
-,call-far,0x10008e14,0x736a006a,
-,call-far,0x10008e84,0x736a006a,
-,call-far,0x10008ec1,0x68244c8d,
-,call-far,0x10008ee7,0x736a006a,
-,call-far,0x10008f57,0x736a006a,
-,call-far,0x10008fcb,0x736a006a,
-,call-far,0x10009037,0x736a006a,
-,call-far,0x100090a3,0x736a006a,
-,call-far,0x10009113,0x736a006a,
-,call-far,0x1000918b,0x736a006a,
-,call-far,0x100091f5,0x736a006a,
-,call-far,0x10009263,0x736a006a,
-,call-far,0x100092d3,0x736a006a,
-,call-far,0x10009341,0x736a006a,
-,call-far,0x100093a9,0x736a006a,
-,call-far,0x10009415,0x736a006a,
-,call-far,0x1000947d,0x736a006a,
-,call-far,0x100094e5,0x736a006a,
-,call-far,0x10009525,0x68248c8d,
-,call-far,0x10009551,0x736a006a,
-,call-far,0x100095b9,0x736a006a,
-,call-far,0x10009621,0x736a006a,
-,call-far,0x1000965b,0x60248c8d,
-,call-far,0x10009687,0x736a006a,
-,call-far,0x100096f1,0x736a006a,
-,call-far,0x1000975d,0x736a006a,
-,call-far,0x10009799,0x70248c8d,
-,call-far,0x100097c5,0x736a006a,
-,call-far,0x1000982d,0x736a006a,
-,call-far,0x10009899,0x736a006a,
-,call-far,0x100098ff,0x736a006a,
-,call-far,0x10009969,0x736a006a,
-,call-far,0x100099d3,0x736a006a,
-,call-far,0x10009a43,0x736a006a,
-,call-far,0x10009aad,0x736a006a,
-,call-far,0x10009b17,0x736a006a,
-,call-far,0x10009b83,0x736a006a,
-,call-far,0x10009bf1,0x736a006a,
-,call-far,0x10009c57,0x736a006a,
-,call-far,0x10009cc5,0x736a006a,
-,call-far,0x10009d2b,0x736a006a,
-,call-far,0x10009d96,0x736a006a,
-,call-far,0x10009dfb,0x736a006a,
-,call-far,0x10009e65,0x736a006a,
-,call-far,0x10009ed1,0x736a006a,
-,call-far,0x10009f39,0x736a006a,
-,call-far,0x10009fa9,0x736a006a,
-,call-far,0x10009fe9,0x64248c8d,
-,call-far,0x1000a015,0x736a006a,
-,call-far,0x1000a085,0x736a006a,
-,call-far,0x1000a0f5,0x736a006a,
-,call-far,0x1000a161,0x736a006a,
-,call-far,0x1000a1c9,0x736a006a,
-,call-far,0x1000a23d,0x736a006a,
-,call-far,0x1000a2b3,0x736a006a,
-,call-far,0x1000a31d,0x736a006a,
-,call-far,0x1000a383,0x736a006a,
-,call-far,0x1000a3ef,0x736a006a,
-,call-far,0x1000a465,0x736a006a,
-,call-far,0x1000a4d3,0x736a006a,
-,call-far,0x1000a53f,0x736a006a,
-,call-far,0x1000a5af,0x736a006a,
-,call-far,0x1000a5ef,0x74248c8d,
-,call-far,0x1000a61b,0x736a006a,
-,call-far,0x1000a685,0x736a006a,
-,call-far,0x1000a6ed,0x736a006a,
-,call-far,0x1000a757,0x736a006a,
-,call-far,0x1000a7bd,0x736a006a,
-,call-far,0x1000a823,0x736a006a,
-,call-far,0x1000a899,0x736a006a,
-,call-far,0x1000a901,0x736a006a,
-,call-far,0x1000a96b,0x736a006a,
-,call-far,0x1000a9d5,0x736a006a,
-,call-far,0x1000aa43,0x736a006a,
-,call-far,0x1000aaad,0x736a006a,
-,call-far,0x1000ab1b,0x736a006a,
-,call-far,0x1000ab8b,0x736a006a,
-,call-far,0x1000abff,0x736a006a,
-,call-far,0x1000ac6b,0x736a006a,
-,call-far,0x1000d47d,0x6804c483,
-,call-far,0x1000dedc,0x225b0a3,
-,call-far,0x1000df03,0x225b4a3,
-,call-far,0x1000df66,0x225b4a1,
-,call-far,0x1000ee88,0x64f44d8b,
-,call-far,0x1000f31b,0x6474f73b,
-,call-far,0x1000f988,0x642444c7,
-,call-far,0x1000fbba,0x72147539,
-,call-far,0x10010683,0x68248c8b,
-,call-far,0x100108a4,0x748b3f8b,
-,call-far,0x10010a48,0x7489338b,
-,call-far,0x10010ec8,0x683bc033,
-,call-far,0x100137bf,0x22628a3,
