Адрес,Тип,Порядковый номер,Символ,Символ (undecorated)
00C41D2F,Экспорт,0,OptionalHeader.AddressOfEntryPoint,
00C43000,Импорт,,kernel32.GetModuleHandleW,
00C43004,Импорт,,kernel32.IsDebuggerPresent,
00C43008,Импорт,,ntdll.InitializeSListHead,
00C4300C,Импорт,,kernel32.GetSystemTimeAsFileTime,
00C43010,Импорт,,kernel32.GetCurrentThreadId,
00C43014,Импорт,,kernel32.GetCurrentProcessId,
00C43018,Импорт,,kernel32.QueryPerformanceCounter,
00C4301C,Импорт,,kernel32.IsProcessorFeaturePresent,
00C43020,Импорт,,kernel32.TerminateProcess,
00C43024,Импорт,,kernel32.GetCurrentProcess,
00C43028,Импорт,,kernel32.SetUnhandledExceptionFilter,
00C4302C,Импорт,,kernel32.UnhandledExceptionFilter,
00C43030,Импорт,,kernel32.LoadLibraryA,
00C43034,Импорт,,kernel32.GetProcAddress,
00C43038,Импорт,,kernel32.GetModuleHandleA,
00C4303C,Импорт,,kernel32.Sleep,
00C43044,Импорт,,msvcp140.??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z,"public: class std::basic_ostream<char, struct std::char_traits<char>> & __thiscall std::basic_ostream<char, struct std::char_traits<char>>::operator<<(int)"
00C43048,Импорт,,msvcp140.??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@K@Z,"public: class std::basic_ostream<char, struct std::char_traits<char>> & __thiscall std::basic_ostream<char, struct std::char_traits<char>>::operator<<(unsigned long)"
00C4304C,Импорт,,msvcp140.??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@PBX@Z,"public: class std::basic_ostream<char, struct std::char_traits<char>> & __thiscall std::basic_ostream<char, struct std::char_traits<char>>::operator<<(void const *)"
00C43050,Импорт,,msvcp140.??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z,"public: class std::basic_ostream<char, struct std::char_traits<char>> & __thiscall std::basic_ostream<char, struct std::char_traits<char>>::operator<<(class std::basic_ostream<char, struct std::char_traits<char>> & (__cdecl *)(class std::basic_ostream<char, struct std::char_traits<char>> &))"
00C43054,Импорт,,msvcp140.?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ,"public: class std::basic_ostream<char, struct std::char_traits<char>> & __thiscall std::basic_ostream<char, struct std::char_traits<char>>::flush(void)"
00C43058,Импорт,,msvcp140.?get@?$basic_istream@DU?$char_traits@D@std@@@std@@QAEHXZ,"public: int __thiscall std::basic_istream<char, struct std::char_traits<char>>::get(void)"
00C4305C,Импорт,,msvcp140.?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A,"class std::basic_istream<char, struct std::char_traits<char>> std::cin"
00C43060,Импорт,,msvcp140.?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A,"class std::basic_ostream<char, struct std::char_traits<char>> std::cout"
00C43064,Импорт,,msvcp140.??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAVios_base@1@AAV21@@Z@Z,"public: class std::basic_ostream<char, struct std::char_traits<char>> & __thiscall std::basic_ostream<char, struct std::char_traits<char>>::operator<<(class std::ios_base & (__cdecl *)(class std::ios_base &))"
00C43068,Импорт,,msvcp140.?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ,"public: void __thiscall std::basic_ostream<char, struct std::char_traits<char>>::_Osfx(void)"
00C4306C,Импорт,,msvcp140.?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z,"public: char __thiscall std::basic_ios<char, struct std::char_traits<char>>::widen(char) const"
00C43070,Импорт,,msvcp140.?fill@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDXZ,"public: char __thiscall std::basic_ios<char, struct std::char_traits<char>>::fill(void) const"
00C43074,Импорт,,msvcp140.?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ,"public: class std::basic_streambuf<char, struct std::char_traits<char>> * __thiscall std::basic_ios<char, struct std::char_traits<char>>::rdbuf(void) const"
00C43078,Импорт,,msvcp140.?tie@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_ostream@DU?$char_traits@D@std@@@2@XZ,"public: class std::basic_ostream<char, struct std::char_traits<char>> * __thiscall std::basic_ios<char, struct std::char_traits<char>>::tie(void) const"
00C4307C,Импорт,,msvcp140.?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z,"public: void __thiscall std::basic_ios<char, struct std::char_traits<char>>::setstate(int, bool)"
00C43080,Импорт,,msvcp140.?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z,"public: __int64 __thiscall std::basic_streambuf<char, struct std::char_traits<char>>::sputn(char const *, __int64)"
00C43084,Импорт,,msvcp140.?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z,"public: int __thiscall std::basic_streambuf<char, struct std::char_traits<char>>::sputc(char)"
00C43088,Импорт,,msvcp140.?width@ios_base@std@@QAE_J_J@Z,public: __int64 __thiscall std::ios_base::width(__int64)
00C4308C,Импорт,,msvcp140.?width@ios_base@std@@QBE_JXZ,public: __int64 __thiscall std::ios_base::width(void) const
00C43090,Импорт,,msvcp140.?setf@ios_base@std@@QAEHHH@Z,"public: int __thiscall std::ios_base::setf(int, int)"
00C43094,Импорт,,msvcp140.?flags@ios_base@std@@QBEHXZ,public: int __thiscall std::ios_base::flags(void) const
00C43098,Импорт,,msvcp140.?good@ios_base@std@@QBE_NXZ,public: bool __thiscall std::ios_base::good(void) const
