Address,Destination,RealTarget
0x10016000,6CFB1EB0,
0x10016004,00000000,
0x10016008,02130000,kernelbase.GetProcAddressForCaller
0x1001600C,76053100,
0x10016010,76053150,
0x10016014,02130140,wtf
0x10016018,76053160,
0x1001601C,760530F0,
0x10016020,021301F4,kernelbase.OpenProcess
0x10016024,76053600,
0x10016028,02130454,kernelbase.CreateRemoteThreadEx
0x1001602C,76053340,
0x10016030,0213055D,kernelbase.ResumeThread/kernelbase.TerminateThread
0x10016034,760533B0,
0x10016038,7604E2B0,
0x1001603C,02130680,kernelbase.TerminateThread
0x10016040,021306F6,kernelbase.CreateFileMappingW
0x10016044,02130790,kernelbase.MapViewOfFile
0x10016048,02130855,kernelbase.UnmapViewOfFile
0x1001604C,021308F4,kernelbase.MultiByteToWideChar
0x10016050,021309B3,kernelbase.MultiByteToWideChar
0x10016054,02130A34,kernelbase.FreeLibrary
0x10016058,02130B2C,kernelbase.LoadLibraryW
0x1001605C,02130C86,kernelbase.GetModuleHandleA
0x10016060,760531D0,
0x10016064,760532F0,
0x10016068,76045120,
0x1001606C,760511A0,
0x10016070,02130E07,wtf
0x10016074,02140000,ntdll.RtlInitializeCriticalSectionEx
0x10016078,77A000C0,
0x1001607C,779FE8C0,
0x10016080,021405F8,wtf
0x10016084,76050850,
0x10016088,7604E240,
0x1001608C,02140635,wtf(ntdll)
0x10016090,02140714,wtf(ntdll)
0x10016094,02140826,wtf(ntdll)
0x10016098,021408DB,wtf(ntdll)
0x1001609C,021409AF,
0x100160A0,7604F630,
0x100160A4,02140A5D,
0x100160A8,77A06080,
0x100160AC,02140B45,
0x100160B0,02150000,
0x100160B4,02160000,
0x100160B8,7604F620,
0x100160BC,02160B3D,
0x100160C0,02160C9A,
0x100160C4,02160DC5,
0x100160C8,02160ECD,
0x100160CC,02170000,
0x100160D0,76052370,
0x100160D4,021700F1,
0x100160D8,021701D7,
0x100160DC,00000000,
0x100160E0,683B5B67,
0x100160E4,683B8B0F,
0x100160E8,683B5B07,
0x100160EC,683A72B6,
0x100160F0,683A75A3,
0x100160F4,683A5F90,
0x100160F8,683B9BB2,
0x100160FC,683B8DBF,
0x10016100,683B6059,
0x10016104,683B9BD2,
0x10016108,683A7149,
0x1001610C,683A7286,
0x10016110,683B6075,
0x10016114,683A5EBB,
0x10016118,683B8A4B,
0x1001611C,683A5E81,
0x10016120,00000000,
0x10016124,68F1CCC9,
0x10016128,68F0BF24,
0x1001612C,68F13D3F,
0x10016130,68EE69A3,
0x10016134,68F09E36,
0x10016138,68EE4DE4,
0x1001613C,68F13F23,
0x10016140,68EE6A25,
0x10016144,68EE7364,
0x10016148,68EE4F2F,
0x1001614C,68EE524A,
0x10016150,68F219D7,
0x10016154,68EE722A,
0x10016158,68F0BF3A,
0x1001615C,68EE7887,
0x10016160,68F13B4E,
0x10016164,68F09405,
0x10016168,68F093CA,
0x1001616C,68EEBEB0,
0x10016170,68EE6D0A,
0x10016174,68F247AE,
0x10016178,68ED34CD,
0x1001617C,68EEB680,
0x10016180,68ED2E16,
0x10016184,68F1CEB7,
0x10016188,68ED3582,
0x1001618C,68ED2EFA,
0x10016190,68F1CE5A,
0x10016194,68ED3607,
0x10016198,68F0BE7B,
0x1001619C,68F1374D,
0x100161A0,68ED35F9,
0x100161A4,68ED21EE,
0x100161A8,68ED2211,
0x100161AC,68ED2157,
0x100161B0,68F4C618,
0x100161B4,68F1D0ED,
0x100161B8,68F21850,
0x100161BC,68F21661,
0x100161C0,68F0C32F,
0x100161C4,68F0C733,
0x100161C8,68F0C076,
0x100161CC,68F0C091,
0x100161D0,68F0BFB4,
0x100161D4,68F13E99,
0x100161D8,68F13F03,
0x100161DC,68F0DF18,
0x100161E0,68F0DB6E,
0x100161E4,68EEAE20,
0x100161E8,68F16415,
0x100161EC,00000000,
0x100161F0,775C16D0,
0x100161F4,775C13A0,
0x100161F8,775C13C0,
0x100161FC,00000000,
0x10016200,76135370,
0x10016204,761363C0,
0x10016208,76135490,
0x1001620C,00000000,
0x10016210,0217028A,
0x10016214,00000000,
0x10016218,757215E0,
0x1001621C,757215C0,
0x10016220,75721560,
0x10016224,00000000,
0x10016228,6BCF38D0,
0x1001622C,6BCF3C00,
