Calladdr,Address,Ordinal,Function,Module
0x10816000,0x699c1eb0,139,GetTcpTable,iphlpapi.dll
0x10816008,0x24d0000,,GetProcAddress,kernel32.dll
0x1081600c,0x76cc3100,542,GetCurrentProcessId,kernel32.dll
0x10816010,0x76cc3150,140,CloseHandle,kernel32.dll
0x10816014,0x24d0189,,OpenProcess,kernel32.dll
0x10816018,0x76cc3160,305,DuplicateHandle,kernel32.dll
0x1081601c,0x76cc30f0,541,GetCurrentProcess,kernel32.dll
0x10816020,0x24d0227,,CreateThread,kernel32.dll
0x10816024,0x76cc3600,596,GetFileType,kernel32.dll
0x10816028,0x24d04b5,,ResumeThread,kernel32.dll
0x1081602c,0x76cc3340,1504,WaitForSingleObject,kernel32.dll
0x10816030,0x24d0552,,TerminateThread,kernel32.dll
0x10816034,0x76cc33b0,209,CreateFileW,kernel32.dll
0x10816038,0x76cbe2b0,615,GetLastError,kernel32.dll
0x1081603c,0x24d06cc,,CreateFileMappingW,kernel32.dll
0x10816040,0x24d07d4,,MapViewOfFile,kernel32.dll
0x10816044,0x24d0880,,UnmapViewOfFile,kernel32.dll
0x10816048,0x24d0946,,MultiByteToWideChar,kernel32.dll
0x1081604c,0x24d0a3b,,FreeLibrary,kernel32.dll
0x10816050,0x24d0b79,,LoadLibraryW,kernel32.dll
0x10816054,0x24d0c4c,,GetModuleHandleA,kernel32.dll
0x10816058,0x24d0d21,,GetWindowsDirectoryW,kernel32.dll
0x1081605c,0x24d0dd5,,GetSystemWindowsDirectoryW,kernel32.dll
0x10816060,0x76cc31d0,197,CreateEventW,kernel32.dll
0x10816064,0x76cc32f0,1309,SetEvent,kernel32.dll
0x10816068,0x76cb5120,738,GetSystemDefaultLangID,kernel32.dll
0x1081606c,0x76cc11a0,1414,Sleep,kernel32.dll
0x10816070,0x24e0000,,InitializeCriticalSection,kernel32.dll
0x10816074,0x24e0231,,DeleteCriticalSection,kernel32.dll
0x10816078,0x77be00c0,961,EnterCriticalSection,kernel32.dll
0x1081607c,0x77bde8c0,1246,LeaveCriticalSection,kernel32.dll
0x10816080,0x24e0999,,GetCurrentThreadId,kernel32.dll
0x10816084,0x76cc0850,1129,RaiseException,kernel32.dll
0x10816088,0x76cbe240,1337,SetLastError,kernel32.dll
0x1081608c,0x24e09f9,,FindResourceExW,kernel32.dll
0x10816090,0x24e0af0,,HeapDestroy,kernel32.dll
0x10816094,0x24e0b83,,FindResourceW,kernel32.dll
0x10816098,0x24e0bf5,,LoadResource,kernel32.dll
0x1081609c,0x24e0cba,,LockResource,kernel32.dll
0x108160a0,0x76cbf630,751,GetSystemTimeAsFileTime,kernel32.dll
0x108160a4,0x24e0d9c,,GetTickCount,kernel32.dll
0x108160a8,0x77be6080,759,HeapAlloc,kernel32.dll
0x108160ac,0x24e0e47,,HeapFree,kernel32.dll
0x108160b0,0x24f0000,,HeapReAlloc,kernel32.dll
0x108160b4,0x24f055a,,HeapSize,kernel32.dll
0x108160b8,0x76cbf620,698,GetProcessHeap,kernel32.dll
0x108160bc,0x2500000,,InterlockedExchange,kernel32.dll
0x108160c0,0x250016c,,InterlockedCompareExchange,kernel32.dll
0x108160c4,0x2500294,,TerminateProcess,kernel32.dll
0x108160c8,0x2500346,,UnhandledExceptionFilter,kernel32.dll
0x108160cc,0x2500480,,SetUnhandledExceptionFilter,kernel32.dll
0x108160d0,0x76cc2370,902,IsDebuggerPresent,kernel32.dll
0x108160d4,0x2500547,,QueryPerformanceCounter,kernel32.dll
0x108160d8,0x250067c,,SizeofResource,kernel32.dll
0x108160e0,0x6a255b67,141,??$?MGU?$char_traits@G@std@@V?$allocator@G@1@@std@@YA_NABV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@0@0@Z,msvcp90.dll
0x108160e4,0x6a258b0f,697,??4?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEAAV01@PBG@Z,msvcp90.dll
0x108160e8,0x6a255b07,49,??$?8GU?$char_traits@G@std@@V?$allocator@G@1@@std@@YA_NABV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@0@PBG@Z,msvcp90.dll
0x108160ec,0x6a2472b6,694,??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@PBD@Z,msvcp90.dll
0x108160f0,0x6a2475a3,692,??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@ABV01@@Z,msvcp90.dll
0x108160f4,0x6a245f90,1620,?clear@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXXZ,msvcp90.dll
0x108160f8,0x6a259bb2,698,??4?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAEAAV01@ABV01@@Z,msvcp90.dll
0x108160fc,0x6a258dbf,381,??0?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAE@ABV01@@Z,msvcp90.dll
0x10816100,0x6a256059,393,??0?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAE@XZ,msvcp90.dll
0x10816104,0x6a259bd2,2990,?swap@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXAAV12@@Z,msvcp90.dll
0x10816108,0x6a247149,375,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@PBD@Z,msvcp90.dll
0x1081610c,0x6a247286,368,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@ABV01@@Z,msvcp90.dll
0x10816110,0x6a256075,609,??1?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAE@XZ,msvcp90.dll
0x10816114,0x6a245ebb,608,??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,msvcp90.dll
0x10816118,0x6a258a4b,388,??0?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAE@PBG@Z,msvcp90.dll
0x1081611c,0x6a245e81,380,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,msvcp90.dll
0x10816124,0x642fccc9,523,_invalid_parameter_noinfo,msvcr90.dll
0x10816128,0x642ebf24,9,??0exception@std@@QAE@XZ,msvcr90.dll
0x1081612c,0x642f3d3f,1308,malloc,msvcr90.dll
0x10816130,0x642c69a3,1320,memcpy_s,msvcr90.dll
0x10816134,0x642e9e36,1074,_wcsicmp,msvcr90.dll
0x10816138,0x642c4de4,1041,_vsnwprintf,msvcr90.dll
0x1081613c,0x642f3f23,33,??_V@YAXPAX@Z,msvcr90.dll
0x10816140,0x642c6a25,1322,memmove_s,msvcr90.dll
0x10816144,0x642c7364,1429,wcsnlen,msvcr90.dll
0x10816148,0x642c4f2f,1031,_vscwprintf,msvcr90.dll
0x1081614c,0x642c524a,1409,vswprintf_s,msvcr90.dll
0x10816150,0x643019d7,812,_purecall,msvcr90.dll
0x10816154,0x642c722a,1420,wcscpy_s,msvcr90.dll
0x10816158,0x642ebf3a,6,??0exception@std@@QAE@ABQBD@Z,msvcr90.dll
0x1081615c,0x642c7887,1435,wcsstr,msvcr90.dll
0x10816160,0x642f3b4e,1253,free,msvcr90.dll
0x10816164,0x642e9405,927,_strlwr,msvcr90.dll
0x10816168,0x642e93ca,929,_strlwr_s,msvcr90.dll
0x1081616c,0x642cbeb0,1378,strstr,msvcr90.dll
0x10816170,0x642c6d0a,1363,strcpy_s,msvcr90.dll
0x10816174,0x643047ae,1303,ldiv,msvcr90.dll
0x10816178,0x642b34cd,293,_beginthreadex,msvcr90.dll
0x1081617c,0x642cb680,1323,memset,msvcr90.dll
0x10816180,0x642b2e16,999,_unlock,msvcr90.dll
0x10816184,0x642fceb7,150,__dllonexit,msvcr90.dll
0x10816188,0x642b3582,363,_encode_pointer,msvcr90.dll
0x1081618c,0x642b2efa,631,_lock,msvcr90.dll
0x10816190,0x642fce5a,797,_onexit,msvcr90.dll
0x10816194,0x642b3607,353,_decode_pointer,msvcr90.dll
0x10816198,0x642ebe7b,68,?terminate@@YAXXZ,msvcr90.dll
0x1081619c,0x642f374d,648,_malloc_crt,msvcr90.dll
0x108161a0,0x642b35f9,364,_encoded_null,msvcr90.dll
0x108161a4,0x642b21ee,517,_initterm,msvcr90.dll
0x108161a8,0x642b2211,518,_initterm_e,msvcr90.dll
0x108161ac,0x642b2157,278,_amsg_exit,msvcr90.dll
0x108161b0,0x6432c618,268,_adjust_fdiv,msvcr90.dll
0x108161b4,0x642fd0ed,108,__CppXcptFilter,msvcr90.dll
0x108161b8,0x64301850,372,_except_handler4_common,msvcr90.dll
0x108161bc,0x64301661,332,_crt_debugger_hook,msvcr90.dll
0x108161c0,0x642ec32f,55,?_type_info_dtor_internal_method@type_info@@QAEXXZ,msvcr90.dll
0x108161c4,0x642ec733,140,__clean_type_info_names_internal,msvcr90.dll
0x108161c8,0x642ec076,13,??1exception@std@@UAE@XZ,msvcr90.dll
0x108161cc,0x642ec091,71,?what@exception@std@@UBEPBDXZ,msvcr90.dll
0x108161d0,0x642ebfb4,8,??0exception@std@@QAE@ABV01@@Z,msvcr90.dll
0x108161d4,0x642f3e99,15,??2@YAPAXI@Z,msvcr90.dll
0x108161d8,0x642f3f03,17,??3@YAXPAX@Z,msvcr90.dll
0x108161dc,0x642edf18,92,_CxxThrowException,msvcr90.dll
0x108161e0,0x642edb6e,115,__CxxFrameHandler,msvcr90.dll
0x108161e4,0x642cae20,1319,memcpy,msvcr90.dll
0x108161e8,0x642f6415,1339,realloc,msvcr90.dll
0x108161f0,0x765216d0,16,GetModuleFileNameExA,psapi.dll
0x108161f4,0x765213a0,5,EnumProcessModules,psapi.dll
0x108161f8,0x765213c0,7,EnumProcesses,psapi.dll
0x10816200,0x765d5370,668,PathFindFileNameW,shlwapi.dll
0x10816204,0x765d63c0,664,PathFileExistsW,shlwapi.dll
0x10816208,0x765d5490,734,PathRemoveFileSpecW,shlwapi.dll
0x10816210,0x250071e,,wvsprintfW,user32.dll
0x10816218,0x750b15e0,9,GetFileVersionInfoW,version.dll
0x1081621c,0x750b15c0,8,GetFileVersionInfoSizeW,version.dll
0x10816220,0x750b1560,17,VerQueryValueW,version.dll
0x10816228,0x694438d0,153,timeSetEvent,winmm.dll
0x1081622c,0x69443c00,152,timeKillEvent,winmm.dll
