patch_addr,mem_old,patch
0x10016008,00001302,00404410
0x10016014,D5011302,D5414410
0x10016020,78021302,78424410
0x10016028,C5041302,C5444410
0x10016030,52051302,52454410
0x1001603C,E1051302,E1454410
0x10016040,A0061302,A0464410
0x10016044,55071302,55474410
0x10016048,CB071302,CB474410
0x1001604C,AA081302,AA484410
0x10016050,B2091302,B2494410
0x10016054,830A1302,834A4410
0x10016058,AA0B1302,AA4B4410
0x1001605C,830C1302,834C4410
0x10016070,A90D1302,A94D4410
0x10016074,00001402,00504410
0x10016080,A8061402,A8564410
0x1001608C,DF061402,DF564410
0x10016090,31081402,31584410
0x10016094,D7081402,D7584410
0x10016098,8C091402,8C594410
0x1001609C,230A1402,235A4410
0x100160A4,F60A1402,F65A4410
0x100160AC,580B1402,585B4410
0x100160B0,00001502,00604410
0x100160B4,33051502,33654410
0x100160BC,A30E1502,A36E4410
0x100160C0,00001602,00704410
0x100160C4,6D011602,6D714410
0x100160C8,20021602,20724410
0x100160CC,88031602,88734410
0x100160D4,40041602,40744410
0x100160D8,32051602,32754410
0x10016210,15061602,15764410
