start,bytes1,bytes2
3,1081,1101
13,1081,1101
23,1081,1101
30,1081,1101
41,1082,1102
57,1081,1101
67,1081,1101
77,1082,1102
82,1081,1101
98,1081,1101
109,1082,1102
139,1081,1101
155,1081,1101
193,1081,1101
209,1081,1101
224,1081,1101
231,1081,1101
247,1081,1101
281,1081,1101
287,1081,1101
304,1081,1101
319,1081,1101
326,1081,1101
337,1082,1102
539,3885,3905
572,20,a0
598,3b,bb
627,29,a9
676,58,d8
729,3c,bc
764,1081,1101
774,1081,1101
784,1081,1101
791,1081,1101
802,1082,1102
815,1081,1101
827,1081,1101
837,1082,1102
842,1081,1101
858,1081,1101
869,1082,1102
914,1082,1102
946,1080,1100
951,1082,1102
958,1082,1102
965,1081,1101
974,1082,1102
981,1082,1102
988,1081,1101
997,1082,1102
1004,1082,1102
1011,1081,1101
1019,1082,1102
1026,1082,1102
1033,1081,1101
1042,1082,1102
1049,1082,1102
1056,1081,1101
1065,1082,1102
1072,1082,1102
1079,1081,1101
1087,1082,1102
1094,1082,1102
1101,1081,1101
1110,1080,1100
1114,1080,1100
1118,1080,1100
1122,1080,1100
1126,1080,1100
1130,1080,1100
1134,1080,1100
1138,1080,1100
1269,1081,1101
1282,1081,1101
1472,1081,1101
1556,1081,1101
1576,1081,1101
1637,1081,1101
1655,1081,1101
1699,1081,1101
1750,1081,1101
1869,1081,1101
1896,1081,1101
1911,1081,1101
2494,1081,1101
2602,1081,1101
2659,1081,1101
2736,1081,1101
2759,1081,1101
2817,1081,1101
2915,1081,1101
2920,1081,1101
2933,1081,1101
2984,1081,1101
3002,1081,1101
3054,1081,1101
3084,1081,1101
3186,1081,1101
3208,1081,1101
3223,1081,1101
3263,1081,1101
3303,1081,1101
3315,1081,1101
3350,1081,1101
3382,1081,1101
3445,1081,1101
3460,1081,1101
3490,1081,1101
3511,1081,1101
3517,1081,1101
3557,1081,1101
3570,1081,1101
3595,1081,1101
3617,1081,1101
3623,1081,1101
3658,1081,1101
3664,1081,1101
3672,1081,1101
3716,1081,1101
3722,1081,1101
3735,1081,1101
3741,1081,1101
3788,1081,1101
3794,1081,1101
4074,1081,1101
4092,1081,1101
4110,1081,1101
4133,1081,1101
4169,1081,1101
4246,1081,1101
4365,51,d1
4425,77,f7
4496,ea8f,eb0f
4636,1081,1101
4664,1081,1101
4683,1081,1101
4689,1081,1101
4694,1081,1101
4729,1081,1101
4741,1081,1101
4753,1081,1101
4764,1081,1101
4788,1081,1101
5024,1081,1101
5176,1081,1101
5207,1081,1101
5238,1081,1101
5258,1081,1101
5276,1081,1101
5379,1081,1101
5397,1081,1101
5420,1081,1101
5435,1081,1101
5634,1081,1101
5652,1081,1101
5670,1081,1101
5682,1081,1101
5765,1081,1101
5775,1081,1101
5780,1081,1101
6002,1081,1101
6013,1081,1101
6031,1081,1101
6046,1081,1101
6067,1081,1101
6085,1081,1101
6103,1081,1101
6118,1081,1101
6157,1081,1101
6164,1081,1101
6182,1081,1101
6200,1081,1101
6216,1081,1101
6232,1081,1101
6245,1081,1101
6265,1081,1101
6345,1081,1101
6370,1081,1101
6396,1081,1101
6413,1081,1101
6451,1081,1101
6477,1081,1101
6503,1081,1101
6520,1081,1101
6558,1081,1101
6584,1081,1101
6610,1081,1101
6627,1081,1101
6661,1081,1101
6684,1081,1101
6707,1081,1101
6722,1081,1101
6773,1081,1101
6783,1081,1101
6788,1081,1101
7038,1081,1101
7049,1081,1101
7067,1081,1101
7082,1081,1101
7103,1081,1101
7121,1081,1101
7139,1081,1101
7154,1081,1101
7193,1081,1101
7200,1081,1101
7221,1081,1101
7234,1081,1101
7252,1081,1101
7272,1081,1101
7285,1081,1101
7305,1081,1101
7384,1081,1101
7409,1081,1101
7435,1081,1101
7452,1081,1101
7490,1081,1101
7516,1081,1101
7542,1081,1101
7559,1081,1101
7597,1081,1101
7623,1081,1101
7649,1081,1101
7666,1081,1101
7700,1081,1101
7723,1081,1101
7746,1081,1101
7761,1081,1101
7804,1081,1101
7814,1081,1101
7819,1081,1101
7894,1081,1101
7902,1081,1101
7908,1081,1101
8146,1081,1101
8169,1081,1101
8196,1081,1101
8207,1081,1101
8386,1081,1101
8431,1081,1101
8466,1081,1101
8498,1081,1101
8556,1081,1101
8566,1081,1101
8571,1081,1101
8646,1081,1101
8654,1081,1101
8660,1081,1101
8899,1081,1101
8922,1081,1101
8949,1081,1101
8960,1081,1101
9141,1081,1101
9186,1081,1101
9221,1081,1101
9253,1081,1101
9323,1081,1101
9365,1081,1101
9379,1081,1101
