Calladdr,Address,Ordinal,Function,Module
0x16000,0x699c1eb0,139,GetTcpTable,iphlpapi.dll
0x16008,0x1,,GetProcAddress,kernel32.dll
0x1600c,0x76cc3100,542,GetCurrentProcessId,kernel32.dll
0x16010,0x76cc3150,140,CloseHandle,kernel32.dll
0x16014,0x1,,OpenProcess,kernel32.dll
0x16018,0x76cc3160,305,DuplicateHandle,kernel32.dll
0x1601c,0x76cc30f0,541,GetCurrentProcess,kernel32.dll
0x16020,0x1,,CreateThread,kernel32.dll
0x16024,0x76cc3600,596,GetFileType,kernel32.dll
0x16028,0x1,,ResumeThread,kernel32.dll
0x1602c,0x76cc3340,1504,WaitForSingleObject,kernel32.dll
0x16030,0x1,,TerminateThread,kernel32.dll
0x16034,0x76cc33b0,209,CreateFileW,kernel32.dll
0x16038,0x76cbe2b0,615,GetLastError,kernel32.dll
0x1603c,0x1,,CreateFileMappingW,kernel32.dll
0x16040,0x1,,MapViewOfFile,kernel32.dll
0x16044,0x1,,UnmapViewOfFile,kernel32.dll
0x16048,0x1,,MultiByteToWideChar,kernel32.dll
0x1604c,0x1,,FreeLibrary,kernel32.dll
0x16050,0x1,,LoadLibraryW,kernel32.dll
0x16054,0x1,,GetModuleHandleA,kernel32.dll
0x16058,0x1,,GetWindowsDirectoryW,kernel32.dll
0x1605c,0x1,,GetSystemWindowsDirectoryW,kernel32.dll
0x16060,0x76cc31d0,197,CreateEventW,kernel32.dll
0x16064,0x76cc32f0,1309,SetEvent,kernel32.dll
0x16068,0x76cb5120,738,GetSystemDefaultLangID,kernel32.dll
0x1606c,0x76cc11a0,1414,Sleep,kernel32.dll
0x16070,0x1,,InitializeCriticalSection,kernel32.dll
0x16074,0x1,,DeleteCriticalSection,kernel32.dll
0x16078,0x77be00c0,961,EnterCriticalSection,kernel32.dll
0x1607c,0x77bde8c0,1246,LeaveCriticalSection,kernel32.dll
0x16080,0x1,,GetCurrentThreadId,kernel32.dll
0x16084,0x76cc0850,1129,RaiseException,kernel32.dll
0x16088,0x76cbe240,1337,SetLastError,kernel32.dll
0x1608c,0x1,,FindResourceExW,kernel32.dll
0x16090,0x1,,HeapDestroy,kernel32.dll
0x16094,0x1,,FindResourceW,kernel32.dll
0x16098,0x1,,LoadResource,kernel32.dll
0x1609c,0x1,,LockResource,kernel32.dll
0x160a0,0x76cbf630,751,GetSystemTimeAsFileTime,kernel32.dll
0x160a4,0x1,,GetTickCount,kernel32.dll
0x160a8,0x77be6080,759,HeapAlloc,kernel32.dll
0x160ac,0x1,,HeapFree,kernel32.dll
0x160b0,0x1,,HeapReAlloc,kernel32.dll
0x160b4,0x1,,HeapSize,kernel32.dll
0x160b8,0x76cbf620,698,GetProcessHeap,kernel32.dll
