Offset,Function,Module
0x008,GetProcAddress,kernel32.dll
0x014,OpenProcess,kernel32.dll
0x028,ResumeThread,kernel32.dll
0x030,TerminateThread,kernel32.dll
0x03c,CreateFileMappingW,kernel32.dll
0x040,MapViewOfFile,kernel32.dll
0x044,UnmapViewOfFile,kernel32.dll
0x048,MultiByteToWideChar,kernel32.dll
0x04c,FreeLibrary,kernel32.dll
0x050,LoadLibraryW,kernel32.dll
0x054,GetModuleHandleA,kernel32.dll
0x058,GetWindowsDirectoryW,kernel32.dll
0x05c,GetSystemWindowsDirectoryW,kernel32.dll
0x070,InitializeCriticalSection,kernel32.dll
0x074,DeleteCriticalSection,kernel32.dll
0x080,GetCurrentThreadId,kernel32.dll
0x08c,FindResourceExW,kernel32.dll
0x090,HeapDestroy,kernel32.dll
0x094,FindResourceW,kernel32.dll
0x098,LoadResource,kernel32.dll
0x09c,LockResource,kernel32.dll
0x0a4,GetTickCount,kernel32.dll
0x0ac,HeapFree,kernel32.dll
0x0b0,HeapReAlloc,kernel32.dll
0x0b4,HeapSize,kernel32.dll
0x0bc,InterlockedExchange,kernel32.dll
0x0c0,InterlockedCompareExchange,kernel32.dll
0x0c4,TerminateProcess,kernel32.dll
0x0c8,UnhandledExceptionFilter,kernel32.dll
0x0cc,SetUnhandledExceptionFilter,kernel32.dll
0x0d4,QueryPerformanceCounter,kernel32.dll
0x0d8,SizeofResource,kernel32.dll
0x210,wvsprintfW,user32.dll
